Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,209.2,189.2,166.6,163.6,177.2,171.1,162.8,156.3,155.8,146.8,153.1,131.1,126.8,82.1,85.5,66.8,104.1,89.3,78.2,69.8,97.9,71.4,70.4,63.9,94.5,67.6,68.8,62.4,52.7,59.6,48.0,39.8,32.2,48.1,42.2,40.4,63.9,44.5,44.49,35.6,49.2,29.94,30.56,28.2
"P/L Before Other Inc. , Int., Excpt. Items & Tax",220.4,158.5,114.9,56.5,203.6,105.9,125.7,74.7,228.3,135.8,125.5,85.8,169.0,124.1,100.9,89.7,145.2,105.9,86.3,58.1,141.4,96.1,86.3,73.6,115.5,97.4,86.6,71.9,94.6,91.1,83.2,64.1,69.3,84.0,77.8,62.2,77.1,68.7,62.03,52.7,61.0,56.03,44.07,38.6
Other Income,18.4,18.0,16.4,17.7,15.3,28.8,21.0,22.9,22.8,17.2,15.4,15.5,14.7,12.9,12.9,12.3,18.4,17.1,13.8,15.3,20.5,20.0,20.6,20.5,20.8,17.3,18.2,18.8,16.6,11.6,16.4,17.2,23.9,14.6,16.3,15.9,2.7,0.3,0.99,2.1,2.3,1.42,3.28,4.7
"P/L Before Int., Excpt. Items & Tax",238.8,176.5,131.3,74.2,218.9,134.7,146.7,97.6,251.1,153.0,140.9,101.3,183.7,137.0,113.8,102.0,163.6,123.0,100.1,73.4,161.9,116.1,106.9,94.1,136.3,114.7,104.8,90.7,111.2,102.7,99.6,81.3,93.2,98.6,94.1,78.1,79.8,69.0,63.02,54.8,63.3,57.45,47.35,43.3
Interest,10.1,6.7,7.0,7.4,8.5,6.3,8.6,6.1,10.4,13.7,11.7,9.4,5.6,9.4,1.2,7.9,6.6,7.1,6.6,7.4,9.3,9.8,8.4,7.1,8.0,8.2,8.2,7.9,7.1,5.1,5.2,5.3,2.8,6.8,2.7,5.2,1.0,1.2,2.23,4.0,0.4,2.93,4.27,0.3
P/L Before Exceptional Items & Tax,228.7,169.8,124.3,66.8,210.4,128.4,138.1,91.5,240.7,139.3,129.2,91.9,178.1,127.6,112.6,94.1,157.0,115.9,93.5,66.0,152.6,106.3,98.5,87.0,128.3,106.5,96.6,82.8,104.1,97.6,94.4,76.0,90.4,91.8,91.4,72.9,78.8,67.8,60.79,50.8,62.9,54.52,43.08,43.0
Exceptional Items,--,--,--,32.0,--,-3.7,-7.4,--,--,--,--,--,--,--,-30.7,--,35.0,--,--,--,--,--,71.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,228.7,169.8,124.3,98.8,210.4,124.7,130.7,91.5,240.7,139.3,129.2,91.9,178.1,127.6,81.9,94.1,192.0,115.9,93.5,66.0,152.6,106.3,169.8,87.0,128.3,106.5,96.6,82.8,104.1,97.6,94.4,76.0,90.4,91.8,91.4,72.9,78.8,67.8,60.79,50.8,62.9,54.52,43.08,43.0
Tax,54.3,46.7,27.7,24.9,20.6,24.9,29.1,16.2,51.7,29.8,27.7,18.7,31.1,24.2,15.4,17.2,31.5,14.1,9.9,8.2,32.6,14.7,41.8,15.1,28.5,19.8,18.4,16.8,19.8,15.7,17.5,14.0,12.0,17.4,16.7,13.1,12.3,9.0,8.5,7.2,7.3,9.73,3.07,8.4
P/L After Tax from Ordinary Activities,174.4,123.1,96.6,73.9,189.8,99.8,101.6,75.3,189.0,109.5,101.5,73.2,147.0,103.4,66.5,76.9,160.5,101.8,83.6,57.8,120.0,91.6,128.0,71.9,99.8,86.7,78.2,66.0,84.3,81.9,76.9,62.0,78.4,74.4,74.7,59.8,66.5,58.8,52.29,43.6,55.6,44.79,40.01,34.6
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,174.4,123.1,96.6,73.9,189.8,99.8,101.6,75.3,189.0,109.5,101.5,73.2,147.0,103.4,66.5,76.9,160.5,101.8,83.6,57.8,120.0,91.6,128.0,71.9,99.8,86.7,78.2,66.0,84.3,81.9,76.9,62.0,78.4,74.4,74.7,59.8,66.5,58.8,52.29,43.6,55.6,44.79,40.01,34.6
Equity Share Capital,402.5,402.5,402.5,402.5,402.0,402.0,402.0,402.0,401.4,401.4,401.4,401.4,400.8,400.8,400.8,400.8,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,199.2,199.2,199.06,199.1,199.1,199.1,27.13,26.1
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,690.9,645.8,--,--,668.2
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.34,3.07,2.41,1.84,4.73,2.49,2.53,1.88,4.71,2.73,2.53,1.84,3.69,2.55,1.64,1.9,4.03,2.56,2.1,1.46,3.02,2.31,3.22,1.81,5.03,4.37,3.95,3.33,4.26,4.14,3.88,3.16,4.0,3.8,3.81,3.08,3.43,3.03,2.7,2.26,2.88,--,2.13,1.86
Diluted EPS,4.33,3.06,2.41,1.84,4.72,2.48,2.53,1.87,4.68,2.71,2.51,1.82,3.65,2.54,1.63,1.88,4.0,2.54,2.09,1.45,3.01,2.3,3.21,1.8,5.02,4.36,3.94,3.32,4.24,4.13,3.87,3.13,3.95,3.76,3.77,3.03,3.32,2.94,2.61,2.18,2.78,--,2.06,1.79
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.42,2.22,2.22,--,0.25,0.48
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.11,11.11,11.12,--,4.46,8.85
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.91,17.11,17.11,--,0.25,4.75
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,--,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,74.55,85.55,85.54,--,95.54,87.69
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
