Item,Mar '25,Dec '24,Sep '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,698.9,687.83,639.08,549.06,557.2,521.66,473.28,443.86,473.31,446.96,386.33,349.34,339.94,294.51,266.29,310.42,304.96,285.35,293.28,286.34,308.58,276.36,240.93,262.58,259.63,224.46,212.43,199.86,178.93,178.4,188.89,179.02,164.87,144.38,143.73,127.25
"P/L Before Other Inc. , Int., Excpt. Items & Tax",765.38,1031.35,920.14,762.14,957.7,850.87,895.89,640.53,832.7,758.36,884.55,618.73,760.16,573.08,128.49,521.97,591.12,234.51,22.77,322.84,506.43,432.08,520.97,314.59,401.17,345.27,382.35,247.97,382.45,282.76,269.53,172.37,256.92,202.31,206.03,119.88
Other Income,39.13,36.44,46.5,52.2,44.43,45.63,46.79,41.91,40.51,43.76,36.91,39.36,32.31,32.99,36.21,52.55,49.2,55.81,51.34,35.59,6.94,8.86,11.94,14.66,8.64,13.86,14.25,14.91,13.66,21.21,22.83,9.86,8.5,8.04,4.88,6.96
"P/L Before Int., Excpt. Items & Tax",804.51,1067.79,966.64,814.34,1002.13,896.5,942.68,682.44,873.21,802.12,921.46,658.09,792.47,606.07,164.7,574.52,640.32,290.32,74.11,358.43,513.37,440.94,532.91,329.25,409.81,359.13,396.6,262.88,396.11,303.97,292.36,182.24,265.42,210.35,210.91,126.84
Interest,15.99,15.19,13.38,10.53,11.07,11.67,11.0,12.61,12.03,11.77,11.66,11.67,10.5,9.02,8.41,10.3,8.72,7.91,7.55,12.43,16.03,17.54,16.76,12.16,14.89,10.08,10.02,13.19,10.96,10.94,24.34,30.76,31.04,31.88,28.12,25.23
P/L Before Exceptional Items & Tax,788.52,1052.6,953.26,803.81,991.06,884.83,931.68,669.83,861.18,790.35,909.8,646.42,781.97,597.05,156.29,564.22,631.6,282.41,66.56,346.0,497.34,423.4,516.15,317.09,394.92,349.05,386.58,249.69,385.15,293.03,268.02,151.48,234.38,178.47,182.79,101.61
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,788.52,1052.6,953.26,803.81,991.06,884.83,931.68,669.83,861.18,790.35,909.8,646.42,781.97,597.05,156.29,564.22,631.6,282.41,66.56,346.0,497.34,423.4,516.15,317.09,394.92,349.05,386.58,249.69,385.15,293.03,268.02,151.48,234.38,178.47,182.79,101.61
Tax,168.81,267.95,242.89,199.61,254.24,226.29,236.32,164.62,220.11,59.87,230.16,180.07,196.18,148.15,41.16,129.27,161.35,71.86,17.0,59.13,103.08,89.95,180.84,114.2,137.81,123.31,135.97,82.59,133.38,102.01,93.24,54.81,82.5,62.82,64.34,36.05
P/L After Tax from Ordinary Activities,619.71,784.65,710.37,604.2,736.82,658.54,695.36,505.21,641.07,730.48,679.64,466.35,585.79,448.9,115.13,434.95,470.25,210.55,49.56,286.87,394.26,333.45,335.31,202.89,257.11,225.74,250.61,167.1,251.76,191.02,174.78,96.67,151.88,115.65,118.45,65.56
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,619.71,784.65,710.37,604.2,736.82,658.54,695.36,505.21,641.07,730.48,679.64,466.35,585.79,448.9,115.13,434.95,470.25,210.55,49.56,286.87,394.26,333.45,335.31,202.89,257.11,225.74,250.61,167.1,251.76,191.02,174.78,96.67,151.88,115.65,118.45,65.56
Equity Share Capital,650.73,650.73,650.73,650.73,650.73,650.73,650.73,648.26,647.77,647.78,647.78,647.77,647.78,647.78,647.77,647.77,647.77,647.77,647.77,647.77,627.78,624.08,624.08,624.08,624.08,624.08,624.08,624.08,624.08,624.08,624.08,624.08,561.54,561.54,561.54,561.54
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,9.52,12.06,10.92,9.28,11.32,10.12,10.71,7.8,9.9,11.28,10.49,7.2,9.04,6.93,1.78,6.71,7.26,3.25,0.77,4.49,6.3,5.34,5.37,3.25,4.12,3.62,4.02,2.68,4.03,3.06,2.8,1.69,2.7,2.06,2.11,1.17
Diluted EPS,9.5,12.04,10.89,9.27,11.3,10.1,10.68,7.75,9.82,11.19,10.41,7.14,8.97,6.88,1.76,6.66,7.21,3.22,0.76,4.46,6.25,5.28,5.3,3.21,4.06,3.56,3.96,2.64,3.97,3.02,2.79,1.68,2.7,2.06,--,1.17
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
