Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,28.26,28.26,259.49,259.49,0.0,287.75,1.03,2.87,3.9,16.08,98.26,19.57,22.59,156.5,448.15,66.84,0.82,0.74,0.0,0.0,68.4,9.55,1.44,38.27,0.0,117.66,0.0,172.79,95.18,10.86,25.65,26.01,330.49,448.15,86.85,301.1,0.03,101.66,1.55,3.53,0.17,11.66,0.0,0.0,7.6,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,28.26,28.26,278.74,278.74,0.0,307.0,1.46,3.08,4.54,31.03,117.88,20.12,18.63,187.66,499.2,54.31,1.12,1.09,0.0,0.0,56.52,18.26,3.1,25.64,4.5,108.02,0.0,222.72,111.1,7.18,24.3,25.88,391.18,499.2,123.78,340.7,0.04,93.24,1.43,3.53,0.32,20.37,0.0,0.0,8.43,0.05,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,28.26,28.26,308.09,308.09,0.0,336.35,1.46,3.93,5.39,14.2,172.2,26.44,26.99,239.83,581.57,50.9,0.78,1.02,0.0,0.0,52.7,20.17,4.11,20.36,4.0,101.34,0.0,278.11,149.33,6.92,23.57,22.3,480.23,581.57,92.75,414.37,0.03,86.33,0.91,3.53,0.32,22.29,0.0,0.0,14.25,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,28.26,28.26,370.05,370.05,0.0,398.31,0.63,8.42,9.05,0.0,151.96,43.65,2.07,197.68,605.04,46.21,1.04,0.32,0.26,1.47,49.3,20.04,5.5,11.37,9.66,95.87,67.87,273.19,120.6,9.76,6.67,31.08,509.17,605.04,111.14,0.0,0.0,0.0,0.0,3.53,0.39,13.16,0.0,67.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,28.26,28.26,443.68,443.68,0.0,471.94,0.69,9.25,9.94,0.0,224.39,55.84,3.77,284.0,765.88,59.87,1.08,0.23,0.54,0.99,62.71,29.59,5.22,14.04,10.12,121.68,71.37,303.44,176.57,20.32,4.13,68.37,644.2,765.88,151.57,459.72,0.0,62.08,0.0,3.53,0.49,19.32,0.0,71.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,28.26,28.26,518.33,518.33,0.0,546.59,2.56,11.87,14.43,86.15,313.32,63.32,4.94,467.73,1028.75,78.17,2.82,4.23,0.11,2.18,87.51,44.32,5.22,18.89,14.16,170.1,0.0,484.06,298.61,9.22,3.9,62.86,858.65,1028.75,189.99,752.86,0.0,67.97,0.0,3.53,0.77,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,28.26,28.26,518.76,518.76,0.0,547.02,168.29,12.45,180.74,32.19,286.86,98.22,6.95,424.22,1151.98,298.2,3.88,2.55,0.06,2.3,306.99,49.01,9.48,18.62,16.59,400.69,40.35,380.21,264.23,6.69,8.24,51.57,751.29,1151.98,249.83,511.75,0.0,57.69,0.0,3.53,0.42,42.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,28.26,28.26,440.23,440.23,0.0,468.49,149.8,11.75,161.55,148.48,147.08,78.32,4.47,378.35,1008.39,229.23,2.21,1.9,0.3,2.18,235.82,58.22,36.5,15.93,13.34,359.81,140.04,221.72,146.69,81.43,5.51,53.19,648.58,1008.39,0.83,162.0,0.0,17.98,0.0,3.53,0.94,50.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,28.29,28.29,476.96,476.96,0.0,505.25,126.02,13.38,139.4,74.58,212.15,95.56,5.21,387.5,1032.15,198.42,1.58,6.05,0.36,2.06,208.47,59.53,21.3,0.0,32.75,322.05,40.68,369.92,206.89,10.14,0.0,82.47,710.1,1032.15,9.04,478.62,0.0,18.74,0.0,3.53,1.03,51.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,28.33,28.33,566.16,566.16,12.57,607.06,119.42,15.62,135.04,135.22,249.51,113.75,5.58,504.06,1246.16,234.27,1.5,13.54,0.6,2.31,252.22,53.55,28.91,0.0,36.65,371.33,22.46,482.29,242.66,24.88,0.0,102.54,874.83,1246.16,383.63,768.28,0.0,114.22,0.0,3.53,1.01,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,28.39,28.39,588.36,588.36,0.0,616.75,273.38,16.55,289.93,429.96,390.5,123.12,6.3,949.88,1856.56,457.94,1.47,2.79,1.06,2.5,465.76,53.25,30.13,0.0,49.27,598.41,1.06,768.1,325.15,30.01,0.0,133.83,1258.15,1856.56,412.75,836.77,0.0,63.5,0.0,3.53,1.84,44.89,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
