Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2014-03-31,22.12,22.12,417.39,417.39,439.5,2.33,6.44,416.86,0.0,425.63,89.24,64.66,104.27,31.26,289.42,1154.56,96.25,0.0,0.0,96.25,25.08,0.0,487.46,1.33,497.43,65.83,14.38,78.97,9.17,667.1,1154.56,263.25,0.15,0.0,0.0,0.0,0.0,1.32,25.08,1.02,0.0,366.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,22.12,22.12,418.18,418.18,440.3,40.04,6.73,421.91,0.0,468.67,102.96,46.74,31.81,32.72,214.23,1123.19,90.97,0.0,0.0,90.97,25.08,0.0,402.13,1.09,555.59,57.3,16.43,80.97,9.68,721.07,1123.19,339.1,0.26,0.0,0.0,7.0,0.0,1.32,25.08,1.0,0.0,286.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,22.12,22.12,417.44,417.44,439.56,65.35,6.88,421.95,0.0,494.18,65.53,48.81,8.78,30.23,153.35,1087.08,87.6,0.0,0.0,87.6,25.88,0.0,340.35,1.43,581.51,58.46,14.53,80.69,10.1,746.73,1087.08,427.31,0.65,0.0,0.0,17.35,0.0,1.32,25.88,0.0,1.43,226.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,22.12,22.12,419.12,419.12,441.24,103.68,7.05,0.42,0.0,111.15,82.16,75.97,446.33,30.83,635.29,1187.67,82.46,0.0,0.0,82.46,25.43,75.21,183.1,7.88,586.03,91.29,25.62,278.1,15.65,1004.57,1187.67,437.29,0.0,0.0,0.0,0.0,0.0,1.32,25.43,0.0,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,24.43,24.43,937.36,937.36,961.78,103.54,5.97,0.44,1.03,110.98,60.27,49.28,428.31,51.02,588.87,1661.63,53.0,0.0,23.65,76.65,25.59,74.88,177.12,138.13,581.79,57.14,11.05,692.9,3.5,1484.51,1661.63,367.17,0.0,0.0,0.0,0.0,0.0,1.32,25.59,0.0,138.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,24.43,24.43,936.76,936.76,961.18,0.09,5.53,0.35,1.3,7.27,79.66,38.83,94.54,29.8,242.83,1211.28,48.55,1.41,23.65,73.62,368.58,33.89,476.09,44.73,107.49,42.18,11.45,513.52,15.83,735.19,1211.28,1904.73,0.31,0.06,0.07,1.75,0.0,1.32,368.58,0.0,44.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,24.43,24.43,937.94,937.94,962.37,0.31,3.94,0.53,1.12,5.9,298.26,55.75,5.98,0.59,360.57,1328.84,45.43,6.1,23.65,75.19,794.98,5.89,876.05,5.6,70.76,54.13,22.89,278.62,20.78,452.79,1328.84,2010.45,0.22,0.11,0.35,0.07,0.0,1.32,794.98,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,24.43,24.43,936.38,936.38,960.81,0.56,4.55,0.54,0.91,6.56,313.4,31.72,8.45,0.66,354.23,1321.59,55.66,20.39,21.94,97.99,1035.58,7.12,1140.68,0.21,78.77,24.57,14.63,47.69,15.06,180.91,1321.59,0.0,0.0,4.74,3.17,1.85,0.0,1.32,1035.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,26.39,26.39,1253.76,1253.76,1280.15,30.54,4.9,0.41,0.97,36.82,65.59,204.73,18.76,0.66,289.74,1606.71,78.32,1.92,18.68,98.92,1035.67,8.6,1143.2,0.79,86.65,207.89,10.5,145.06,12.61,463.51,1606.71,0.0,0.0,0.09,0.0,6.55,0.0,1.32,1035.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,26.39,26.39,1254.87,1254.87,1281.26,60.42,4.61,0.26,0.9,66.19,210.73,185.24,10.85,0.86,407.66,1755.11,72.66,2.24,18.68,93.57,1210.03,2.39,1306.0,17.37,105.02,203.6,9.61,100.13,13.38,449.11,1755.11,0.0,0.0,0.17,0.56,0.0,2.54,1.32,1210.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,31.35,31.35,4536.88,4536.88,4568.22,40.01,4.05,0.32,1.57,45.95,342.7,53.12,4.14,0.3,400.26,5014.44,65.87,2.24,14.25,82.36,3420.03,3.62,3506.01,67.09,117.39,90.51,1068.04,152.36,13.03,1508.42,5014.44,2258.5,0.0,0.18,1.49,0.0,10.02,1.32,3420.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
