Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Intangible Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,OtherCurrentAssets,Preference Share Capital,Short Term Provisions,Capital Work-In-Progress,Tangible Assets,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency
2014-03-31,31.11,31.11,444.4,444.4,475.51,0.0,0.0,0.0,0.0,0.0,0.04,0.21,0.25,475.76,0.0,0.0,0.0,470.82,4.22,0.0,0.06,0.25,4.93,475.76,18.09,0.0,57.58,0.0,4.22,0.0,57.58,0.34,412.89,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,31.11,31.11,446.05,446.05,477.16,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,477.2,0.0,0.0,0.0,470.78,4.46,0.0,0.06,0.03,6.42,477.2,18.09,0.0,57.58,0.0,4.46,0.0,57.58,0.26,412.94,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,31.11,31.11,447.22,447.22,478.33,0.04,0.0,0.0,0.0,0.0,0.05,0.01,0.06,478.43,0.0,0.0,0.0,470.47,4.7,0.0,0.23,0.07,7.96,478.43,18.09,0.0,57.58,0.0,4.7,0.0,57.58,0.0,412.89,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,31.11,31.11,448.5,448.5,479.61,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,479.69,0.0,0.0,0.0,470.22,5.1,0.0,0.22,0.04,9.47,479.69,18.09,0.0,470.08,0.0,5.1,0.0,470.08,0.0,0.13,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,31.12,31.12,449.83,449.83,480.94,0.01,0.0,0.0,0.0,0.0,0.02,0.02,0.04,480.99,0.01,0.01,0.0,470.14,5.1,0.0,0.04,0.11,10.85,480.99,18.09,0.0,470.08,0.0,5.1,0.0,470.08,0.0,0.05,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,31.12,31.12,445.1,445.1,481.37,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,481.42,0.01,0.01,0.0,470.11,5.86,0.0,0.14,0.04,11.31,481.42,18.09,0.0,470.08,0.0,5.86,5.16,470.08,0.0,0.02,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,31.13,31.13,451.9,451.9,483.04,0.0,0.0,0.09,0.09,0.0,0.05,0.0,0.05,483.18,0.0,0.0,0.03,0.03,477.3,5.62,0.23,0.0,483.15,483.18,18.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,31.16,31.16,454.9,454.9,486.06,0.0,0.0,0.12,0.12,0.0,0.05,0.0,0.05,486.23,0.0,0.0,0.06,0.06,479.48,5.33,1.36,0.0,486.17,486.23,18.09,0.0,470.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,31.19,31.19,457.26,457.26,488.45,0.01,0.07,0.0,0.07,0.0,0.08,0.0,0.08,488.6,0.06,0.06,0.0,0.06,481.43,0.54,1.07,5.51,488.54,488.6,18.09,0.0,470.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,31.19,31.19,454.4,454.4,485.59,0.0,0.02,0.0,0.02,2.01,0.1,0.0,2.11,487.72,0.0,0.0,0.0,0.0,482.06,0.0,0.15,5.51,487.71,487.72,18.09,11.97,470.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,31.19,31.19,467.08,467.08,498.26,0.0,0.0,0.0,0.0,0.0,0.18,0.53,0.71,498.97,0.0,0.0,0.1,0.1,490.33,0.15,0.12,8.27,498.87,498.97,18.09,0.0,0.0,12.9,477.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
