Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,7205.41,6004.91,5809.64,6480.28,6786.21,5517.89,5607.61,5976.24,5992.93,9611.97,4836.45,8631.95,5166.07,7417.7,6483.44,3953.18,7327.74,6410.21,3474.26,2375.43,3922.64,3853.07,3432.05,3257.35,3604.74,3390.79,3209.84,3503.88,3017.51,2525.93,2514.11,2667.16,2238.5,2205.01,2447.31,2544.81,2280.04,3052.45,2398.03,2425.24,2256.56,2261.72,2276.36,2293.41,1958.71,1844.58,1887.85,2023.54,1842.13,1726.78
"P/L Before Other Inc. , Int., Excpt. Items & Tax",3618.67,1921.8,1082.63,2166.8,3234.49,2327.64,1622.35,2226.59,2446.21,1491.29,1073.23,2301.21,2305.54,1612.55,1987.27,2574.3,2881.59,2342.3,1940.06,1366.52,1653.3,1172.36,1206.28,2013.04,1714.01,878.87,1137.78,1222.2,921.93,852.54,1250.28,942.5,797.84,840.92,1119.82,1025.53,789.23,646.74,868.06,1022.23,679.02,574.68,785.99,992.59,531.15,422.22,819.68,1036.13,810.12,802.76
Other Income,115.45,206.08,181.72,178.89,154.23,191.37,208.77,258.15,200.55,158.21,164.54,166.13,144.79,108.83,141.8,216.38,84.48,261.63,146.46,296.11,223.91,164.01,182.04,153.62,140.14,124.36,73.13,105.92,155.57,168.04,165.17,240.1,97.01,172.48,150.36,140.18,89.07,133.68,117.73,51.73,32.8,74.14,213.11,57.74,68.14,37.61,165.55,100.48,96.47,40.62
"P/L Before Int., Excpt. Items & Tax",3734.12,2127.88,1264.35,2345.69,3388.72,2519.01,1831.12,2484.74,2646.76,1649.5,1237.77,2467.34,2450.33,1721.38,2129.07,2790.68,2966.07,2603.93,2086.52,1662.63,1877.21,1336.37,1388.32,2166.66,1854.15,1003.23,1210.91,1328.12,1077.5,1020.58,1415.45,1182.6,894.85,1013.4,1270.18,1165.71,878.3,780.42,985.79,1073.96,711.82,648.82,999.1,1050.33,599.29,459.83,985.23,1136.61,906.59,843.38
Interest,399.58,341.96,282.44,220.42,226.8,236.9,209.99,191.08,174.87,193.7,186.74,199.69,174.71,165.02,182.75,275.89,323.06,300.65,301.94,333.43,432.38,402.56,437.19,370.4,371.3,370.1,335.58,334.76,474.43,375.85,128.49,152.94,129.32,136.67,152.46,112.59,127.26,131.88,139.93,149.9,153.98,143.35,100.22,73.94,90.45,88.75,66.03,47.81,52.09,60.0
P/L Before Exceptional Items & Tax,3334.54,1785.92,981.91,2125.27,3161.92,2282.11,1621.13,2293.66,2471.89,1455.8,1051.03,2267.65,2275.62,1556.36,1946.32,2514.79,2643.01,2303.28,1784.58,1329.2,1444.83,933.81,951.13,1796.26,1482.85,633.13,875.33,993.36,603.07,644.73,1286.96,1029.66,765.53,876.73,1117.72,1053.12,751.04,648.54,845.86,924.06,557.84,505.47,898.88,976.39,508.84,371.08,919.2,1088.8,854.5,783.38
Exceptional Items,--,--,--,32.5,-72.0,--,--,--,--,--,--,--,--,--,--,--,--,--,-6.63,-157.37,--,--,--,--,--,--,--,-226.28,--,--,--,-13.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,3334.54,1785.92,981.91,2157.77,3089.92,2282.11,1621.13,2293.66,2471.89,1455.8,1051.03,2267.65,2275.62,1556.36,1946.32,2514.79,2643.01,2303.28,1777.95,1171.83,1444.83,933.81,951.13,1796.26,1482.85,633.13,875.33,767.08,603.07,644.73,1286.96,1015.97,765.53,876.73,1117.72,1053.12,751.04,648.54,845.86,924.06,557.84,505.47,898.88,976.39,508.84,371.08,919.2,1088.8,854.5,783.38
Tax,652.4,351.55,185.02,449.47,837.97,585.58,415.48,588.16,821.63,461.57,332.66,713.63,-178.27,-75.14,646.23,833.73,865.46,753.0,569.28,366.26,-1461.49,290.66,311.94,597.56,465.38,184.07,276.94,279.13,181.6,213.49,396.34,327.64,202.11,275.68,342.8,272.34,223.07,191.13,241.86,309.32,193.47,95.42,273.31,138.39,139.08,106.97,246.6,362.6,253.69,233.35
P/L After Tax from Ordinary Activities,2682.14,1434.37,796.89,1708.3,2251.95,1696.53,1205.65,1705.5,1650.26,994.23,718.37,1554.02,2453.89,1631.5,1300.09,1681.06,1777.55,1550.28,1208.67,805.57,2906.32,643.15,639.19,1198.7,1017.47,449.06,598.39,487.95,421.47,431.24,890.62,688.33,563.42,601.05,774.92,780.78,527.97,457.41,604.0,614.74,364.37,410.05,625.57,838.0,369.76,264.11,672.6,726.2,600.81,550.03
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,2682.14,1434.37,796.89,1708.3,2251.95,1696.53,1205.65,1705.5,1650.26,994.23,718.37,1554.02,2453.89,1631.5,1300.09,1681.06,1777.55,1550.28,1208.67,805.57,2906.32,643.15,639.19,1198.7,1017.47,449.06,598.39,487.95,421.47,431.24,890.62,688.33,563.42,601.05,774.92,780.78,527.97,457.41,604.0,614.74,364.37,410.05,625.57,838.0,369.76,264.11,672.6,726.2,600.81,550.03
Equity Share Capital,294.68,288.7,288.7,288.7,288.69,288.69,288.69,288.69,288.68,288.68,288.67,288.67,288.67,288.66,288.66,288.65,288.65,288.64,288.63,288.63,288.62,288.62,274.65,274.65,274.64,274.64,274.62,274.61,274.55,274.53,274.52,274.51,274.47,274.45,274.44,274.43,274.42,274.41,274.41,274.4,274.4,274.39,274.36,274.24,274.23,274.21,274.18,274.16,274.16,274.1
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,91.18,49.77,27.65,59.27,78.14,58.86,41.83,59.16,57.24,34.48,24.91,53.88,85.08,56.57,45.08,58.27,61.62,53.75,41.9,27.93,100.77,22.3,22.16,43.68,37.08,16.35,21.79,17.78,15.36,15.71,32.44,25.08,20.53,21.9,28.24,28.45,19.24,16.67,22.01,22.41,13.28,14.95,22.81,30.56,13.49,9.63,24.53,26.49,21.92,20.07
Diluted EPS,91.11,49.72,27.63,59.23,78.08,58.82,41.81,59.13,57.21,34.47,24.9,53.86,85.04,56.55,45.06,58.25,61.6,53.74,41.9,27.92,100.74,22.29,22.15,43.68,37.07,16.35,21.79,17.77,15.35,15.7,32.43,25.07,20.52,21.89,28.22,28.44,19.23,16.66,22.0,22.39,13.27,14.94,22.8,30.55,13.48,9.63,24.52,26.49,21.91,20.06
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.03,10.03,10.03,10.03,10.02,10.0,9.94,9.92,9.9,9.88,9.87,9.64
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36.56,36.56,36.56,36.55,36.53,36.47,36.23,36.18,36.09,36.02,36.01,35.18
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.93,16.93,16.93,16.93,16.93,16.93,16.99,16.99,16.99,17.0,17.0,17.22
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61.69,61.69,61.69,61.69,61.7,61.73,61.95,61.96,61.96,62.01,62.01,62.81
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
