Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
"P/L Before Other Inc. , Int., Excpt. Items & Tax",104.43,72.88,39.4,49.91,52.42,6.11,5.39,-18.98,-117.76,-46.15,-142.03,-114.19,-70.15,-25.58,-70.28,-66.38,-165.12,15.63,-41.45,-28.82,88.21,0.91,76.94,39.33,107.73,49.51,31.56,16.01
Other Income,33.82,48.21,71.46,51.85,93.2,61.59,67.82,48.3,29.55,40.29,117.94,26.48,21.21,18.31,29.53,33.26,47.35,33.72,38.5,30.73,158.94,86.74,60.62,58.93,43.66,51.45,55.38,4.99
"P/L Before Int., Excpt. Items & Tax",138.25,121.09,110.86,101.76,145.62,67.7,73.21,29.32,-88.21,-5.86,-24.09,-87.71,-48.94,-7.27,-40.75,-33.12,-117.77,49.35,-2.95,1.91,247.15,87.65,137.55,98.26,151.39,100.96,86.94,20.99
Interest,30.99,31.27,25.18,18.79,24.13,60.89,55.25,52.12,59.26,36.6,30.99,14.25,18.93,27.61,16.82,11.98,17.0,16.0,16.08,18.7,18.47,45.82,49.76,32.13,28.2,19.13,8.56,0.29
P/L Before Exceptional Items & Tax,107.26,89.82,85.68,82.97,121.49,6.81,17.96,-22.8,-147.47,-42.46,-55.08,-101.96,-67.87,-34.88,-57.57,-45.1,-134.77,33.35,-19.03,-16.79,228.68,41.83,87.8,66.12,123.19,81.83,78.38,20.7
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,107.26,89.82,85.68,82.97,121.49,6.81,17.96,-22.8,-147.47,-42.46,-55.08,-101.96,-67.87,-34.88,-57.57,-45.1,-134.77,33.35,-19.03,-16.79,228.68,41.83,87.8,66.12,123.19,81.83,78.38,20.7
Tax,15.08,12.35,10.66,9.38,32.6,0.52,3.09,--,3.23,2.53,0.23,2.06,-9.82,-2.61,-15.53,-9.94,-36.17,10.66,-0.91,-3.44,50.29,11.44,21.14,30.12,44.8,40.01,17.14,6.0
P/L After Tax from Ordinary Activities,92.18,77.47,75.02,73.59,88.89,6.29,14.87,-22.8,-150.7,-44.99,-55.31,-104.02,-58.05,-32.27,-42.04,-35.16,-98.6,22.69,-18.12,-13.35,178.39,30.39,66.66,36.01,78.39,41.82,61.24,14.7
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,92.18,77.47,75.02,73.59,88.89,6.29,14.87,-22.8,-150.7,-44.99,-55.31,-104.02,-58.05,-32.27,-42.04,-35.16,-98.6,22.69,-18.12,-13.35,178.39,30.39,66.66,36.01,78.39,41.82,61.24,14.7
Equity Share Capital,23.35,23.35,23.34,23.33,23.32,23.3,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,422.98,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.95,3.32,3.21,3.16,3.81,0.32,0.78,-1.2,-7.95,-2.37,-2.92,-5.48,-3.62,-2.01,-2.62,-2.19,-6.15,1.41,-1.13,-0.83,11.12,1.9,4.16,2.25,4.89,2.61,3.82,0.92
Diluted EPS,3.94,3.31,3.21,3.15,3.81,0.32,0.78,-1.2,-7.95,-2.37,-2.92,-5.48,-3.62,-2.01,-2.62,-2.19,-6.15,1.41,-1.13,-0.83,11.12,1.9,4.16,2.25,--,2.61,3.82,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
