Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,240.18,204.9,191.42,181.7,192.18,167.92,161.79,143.81,145.67,152.78,130.35,143.55,145.23,137.55,123.93,100.45,126.33,115.35,83.77,58.29,192.38,112.15,491.09,456.26,490.01,496.21,457.01,391.62,394.72,363.77,316.81,310.13,346.15,322.81,344.35,316.44,359.65,-855.07,403.91,374.88
"P/L Before Other Inc. , Int., Excpt. Items & Tax",296.55,235.31,325.03,346.63,316.27,380.4,413.09,459.23,325.87,197.57,197.74,231.87,159.96,54.89,254.48,258.72,271.32,272.6,178.63,37.73,199.84,217.41,234.31,239.64,181.08,206.34,190.68,181.43,142.22,174.12,174.44,178.63,137.45,142.42,138.42,130.74,113.79,107.2,98.81,106.53
Other Income,46.41,46.29,51.15,40.16,44.57,48.07,43.71,38.95,33.64,32.25,25.98,20.01,22.7,21.83,22.59,18.62,17.17,20.39,18.43,24.52,26.96,28.57,22.98,20.34,23.83,20.38,18.16,15.34,17.35,14.14,13.86,12.01,12.95,12.4,14.98,12.33,14.38,10.32,11.35,11.49
"P/L Before Int., Excpt. Items & Tax",342.96,281.6,376.18,386.79,360.84,428.47,456.8,498.18,359.51,229.82,223.72,251.88,182.66,76.72,277.07,277.34,288.49,292.99,197.06,62.25,226.8,245.98,257.29,259.98,204.91,226.72,208.84,196.77,159.57,188.26,188.3,190.64,150.4,154.82,153.4,143.07,128.17,117.52,110.16,118.02
Interest,3.88,3.38,3.07,3.1,3.83,2.72,2.47,2.51,2.21,2.42,2.47,2.29,2.27,1.54,2.02,1.7,1.92,1.72,2.03,1.53,2.08,1.62,1.45,1.37,0.05,0.09,0.12,0.06,0.06,--,--,0.2,-0.07,0.46,0.11,0.53,0.49,0.85,0.52,0.36
P/L Before Exceptional Items & Tax,339.08,278.22,373.11,383.69,357.01,425.75,454.33,495.67,357.3,227.4,221.25,249.59,180.39,75.18,275.05,275.64,286.57,291.27,195.03,60.72,224.72,244.36,255.84,258.61,204.86,226.63,208.72,196.71,159.51,188.26,188.3,190.44,150.47,154.36,153.29,142.54,127.68,116.67,109.64,117.66
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,339.08,278.22,373.11,383.69,357.01,425.75,454.33,495.67,357.3,227.4,221.25,249.59,180.39,75.18,275.05,275.64,286.57,291.27,195.03,60.72,224.72,244.36,255.84,258.61,204.86,226.63,208.72,196.71,159.51,188.26,188.3,190.44,150.47,154.36,153.29,142.54,127.68,116.67,109.64,117.66
Tax,86.89,52.85,90.31,99.16,92.02,108.57,115.83,127.27,88.49,55.33,57.28,64.39,48.59,18.39,70.76,71.56,73.8,74.06,50.69,15.47,58.13,58.31,-14.78,88.37,71.4,78.31,72.43,68.38,54.75,64.28,63.51,66.11,51.0,55.36,51.05,49.81,43.1,40.59,37.07,39.79
P/L After Tax from Ordinary Activities,252.19,225.37,282.8,284.53,264.99,317.18,338.5,368.4,268.81,172.07,163.97,185.2,131.8,56.79,204.29,204.08,212.77,217.21,144.34,45.25,166.59,186.05,270.62,170.24,133.46,148.32,136.29,128.33,104.76,123.98,124.79,124.33,99.47,99.0,102.24,92.73,84.58,76.08,72.57,77.87
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,252.19,225.37,282.8,284.53,264.99,317.18,338.5,368.4,268.81,172.07,163.97,185.2,131.8,56.79,204.29,204.08,212.77,217.21,144.34,45.25,166.59,186.05,270.62,170.24,133.46,148.32,136.29,128.33,104.76,123.98,124.79,124.33,99.47,99.0,102.24,92.73,84.58,76.08,72.57,77.87
Equity Share Capital,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,89.34,89.34,89.34,89.34
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,25.53,22.82,28.63,28.8,26.83,32.11,34.27,37.3,27.21,17.42,16.6,18.75,13.34,5.75,20.68,20.66,21.54,21.99,14.61,4.58,16.87,18.84,27.4,17.23,13.51,15.02,13.8,12.99,10.61,12.55,12.63,12.59,10.07,10.02,10.35,9.39,8.56,8.52,7.35,7.88
Diluted EPS,25.53,22.82,28.63,28.8,26.83,32.11,34.27,37.3,27.51,17.42,16.6,18.75,13.34,5.75,20.68,20.66,21.54,21.99,14.61,4.58,16.87,18.84,27.4,17.23,13.51,15.02,13.8,12.99,10.61,12.55,12.63,12.59,10.07,10.02,10.35,9.39,8.56,--,7.35,7.88
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
