Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,22.03,22.03,122.26,122.26,144.3,38.65,7.97,2.41,1.65,50.68,10.1,28.84,38.06,10.51,87.5,282.48,117.09,3.34,13.35,6.31,0.0,140.09,5.61,1.67,165.2,0.0,39.56,45.57,13.79,10.19,8.19,117.28,282.48,51.55,10.71,0.02,201.02,13.38,16.52,6.91,0.0,17.83,51.74,8.96,5.25,28.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,22.06,22.06,169.91,169.91,191.97,40.25,10.28,2.81,2.04,55.38,18.07,38.04,37.42,13.58,107.11,354.46,155.86,4.8,4.15,5.65,0.0,170.46,5.61,3.35,203.04,0.0,53.87,59.49,19.83,10.66,7.55,151.42,354.46,60.44,8.47,0.03,251.39,29.95,16.52,6.91,0.0,23.62,83.26,13.58,7.11,28.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,22.06,22.06,201.78,201.78,223.84,31.06,11.83,3.58,2.66,49.13,30.39,29.58,37.97,4.94,102.88,375.85,170.53,6.72,2.87,10.85,0.0,190.97,5.61,3.36,212.85,0.0,40.58,80.29,21.48,12.83,7.82,163.0,375.85,42.22,8.3,0.0,261.64,2.52,16.52,6.91,0.0,12.91,75.12,13.52,6.48,30.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,44.11,44.11,225.06,225.06,269.18,47.62,14.79,5.82,3.33,71.56,28.5,40.98,38.3,0.35,108.13,448.86,188.21,12.28,11.77,8.23,0.64,221.13,5.61,22.03,248.78,0.0,57.91,95.25,22.38,0.12,24.41,200.08,448.86,74.02,149.38,0.0,0.0,283.27,38.58,6.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,44.11,44.11,290.4,290.4,334.51,79.12,15.72,7.01,2.1,103.95,26.73,43.21,45.91,0.33,116.18,554.64,242.94,13.15,9.66,8.58,3.49,277.82,7.7,19.3,304.82,10.62,68.55,111.89,20.37,0.16,38.23,249.81,554.64,65.17,145.55,0.0,0.0,344.79,38.58,2.09,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,44.12,44.12,335.66,335.66,379.78,91.38,18.66,5.82,2.48,118.34,35.12,49.6,49.97,0.34,135.03,633.15,255.07,13.47,9.29,9.24,3.52,290.59,42.03,19.21,351.83,0.27,74.12,124.14,53.19,0.23,29.38,281.32,633.15,67.46,155.44,0.0,0.0,386.75,38.58,2.24,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,44.12,44.12,385.16,385.16,429.28,110.57,14.49,6.52,2.91,134.5,44.33,60.48,70.95,0.42,176.17,739.95,309.67,14.5,16.7,7.88,3.46,352.2,42.03,52.42,446.65,15.92,100.96,120.45,22.39,0.14,33.44,293.31,739.95,114.49,192.52,0.0,0.0,420.06,38.58,2.23,15.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,47.94,47.94,906.07,906.07,954.01,59.74,13.04,6.31,2.31,81.41,30.92,56.1,64.53,0.44,151.99,1187.41,369.4,15.56,14.74,6.43,4.53,410.67,39.8,61.59,512.06,345.01,109.38,149.55,27.4,0.33,43.67,675.35,1187.41,99.2,211.64,0.0,0.0,481.79,38.58,0.0,345.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,47.95,47.95,1029.02,1029.02,1076.97,30.56,16.13,4.16,2.86,53.72,78.77,77.88,46.28,0.35,203.27,1333.96,432.79,14.67,37.11,5.86,3.87,494.3,46.94,51.73,592.97,336.6,150.24,191.46,8.31,0.34,54.04,740.99,1333.96,169.58,259.52,0.0,0.0,536.97,38.58,0.0,336.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,47.97,47.97,1186.15,1186.15,1234.12,11.56,15.43,4.6,3.09,34.69,122.96,78.09,67.35,0.55,268.95,1537.76,582.59,14.84,72.53,5.21,0.91,676.07,56.96,49.14,782.18,118.59,182.8,221.02,176.38,2.08,54.71,755.58,1537.76,163.99,397.53,0.0,0.0,722.43,38.58,0.0,118.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,47.99,47.99,1410.26,1410.26,1458.25,1.09,24.48,5.79,4.2,35.57,159.49,88.98,78.52,0.54,327.53,1821.35,815.55,15.28,66.67,4.04,0.58,902.12,81.07,46.38,1029.57,139.54,193.01,259.28,136.95,0.23,62.77,791.78,1821.35,229.96,520.07,0.0,0.0,896.7,38.58,0.0,139.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,50.66,50.66,2693.56,2693.56,2744.22,0.0,42.87,4.32,7.16,54.34,169.86,76.77,94.81,0.37,341.8,3140.36,1035.96,14.71,89.47,0.0,0.0,1140.13,70.66,69.23,1280.02,1056.61,249.87,340.09,143.19,0.33,70.25,1860.34,3140.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
