Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Hybrid/Debt/Other Securities,Raw Materials,Capital Goods,Equity Share Application Money
2015-03-31,54.94,63.94,48.68,48.68,112.63,68.88,0.0,0.39,0.0,69.28,49.34,48.23,40.02,3.23,140.83,322.73,214.86,0.1,13.82,0.0,228.78,0.0,0.0,5.22,10.17,244.17,0.0,16.57,16.04,4.69,37.48,3.8,78.56,322.73,42.61,5.64,0.0,36.77,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
2016-03-31,54.94,67.94,-56.08,-56.08,11.86,61.74,0.0,24.24,0.0,85.99,39.53,34.78,60.16,3.19,137.66,235.51,158.45,0.07,2.0,0.0,160.52,0.0,0.0,19.1,0.64,180.27,0.0,9.8,12.34,2.52,28.15,2.43,55.24,235.51,46.02,4.39,0.0,36.77,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
2017-03-31,54.94,54.94,-94.25,-94.25,-39.31,43.34,0.0,32.95,0.33,76.62,39.71,35.5,103.28,0.35,178.82,225.13,144.68,0.0,1.99,0.0,146.67,0.0,0.0,0.93,27.28,174.88,0.0,6.97,15.7,1.68,1.99,23.91,50.25,225.13,51.24,0.0,0.0,36.77,0.0,0.0,0.0,0.0,8.99,0.0,0.0,0.0
2018-03-31,54.94,54.94,-131.11,-131.11,-76.17,5.71,0.0,33.94,0.34,39.98,45.21,25.59,163.2,1.72,235.72,208.53,134.53,0.0,1.98,0.0,136.52,0.0,0.0,0.44,27.76,164.72,0.0,9.27,6.85,4.41,1.96,21.32,43.81,208.53,46.66,2.73,0.0,36.77,0.0,0.0,0.0,0.0,8.99,0.0,0.0,0.0
2019-03-31,89.48,89.48,-2.62,-2.62,86.86,34.03,0.0,28.61,0.24,62.89,4.63,25.3,17.94,1.97,49.84,208.58,112.68,0.29,0.13,0.0,113.1,0.0,0.0,0.58,27.94,141.62,0.0,14.44,17.75,23.9,2.5,8.36,66.95,208.58,40.23,0.0,0.0,36.77,0.0,0.0,0.0,0.0,8.99,0.0,0.0,0.0
2020-03-31,89.48,89.48,5.96,5.96,95.44,26.9,0.0,0.48,1.25,28.63,20.84,34.41,19.06,1.52,75.82,199.89,110.7,0.36,5.55,0.2,116.8,0.0,0.0,0.56,2.09,119.45,0.0,47.57,11.11,4.5,1.99,15.27,80.44,199.89,47.24,0.0,0.0,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,387.45,387.45,245.83,245.83,633.27,32.67,0.0,0.42,2.97,36.06,104.59,141.5,73.7,2.11,321.9,991.23,383.44,32.81,20.53,0.19,436.96,3.89,53.09,0.41,10.47,504.82,0.0,244.3,72.12,71.36,0.61,98.02,486.41,991.23,54.87,0.0,0.0,36.77,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,387.45,387.45,295.87,295.87,683.32,27.5,0.0,0.42,3.01,30.92,111.25,143.67,100.5,3.14,358.57,1072.81,394.29,31.44,22.2,0.0,447.94,10.04,27.1,0.46,17.96,503.49,0.0,319.43,70.97,68.88,0.56,109.47,569.31,1072.81,45.92,0.61,0.0,36.77,0.0,10.04,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,387.45,387.45,421.15,421.15,808.6,18.79,30.03,0.4,4.44,53.67,268.88,198.1,307.6,1.92,776.51,1638.77,432.65,29.95,26.05,0.29,488.93,16.45,0.0,0.53,43.85,549.76,0.0,491.23,213.27,166.07,3.58,214.85,1089.01,1638.77,61.99,77.14,2.11,36.77,0.0,16.45,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,412.29,412.29,1209.68,1209.68,1621.97,7.64,31.59,0.39,3.54,43.16,330.03,440.81,357.34,2.37,1130.56,2795.69,489.09,28.43,29.47,0.0,546.98,398.91,0.0,0.53,38.13,984.55,53.33,906.75,469.09,180.18,3.89,197.9,1811.14,2795.69,94.02,565.1,0.5,36.77,0.0,398.91,53.33,0.0,0.0,0.0,0.0,0.0
