Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,21.77,0.63,22.41,17.81,-0.8,2.08,3.63,0.0,3.65,-3.96,0.47,-3.5,4.87,-8.37,0.0,-8.37,0.0,-8.37,-8.37,54.94,-1.52,-1.52,2.46,44.77,0.09,3.11,1.72
2015-09-30,35.44,5.85,41.29,23.62,4.75,1.99,3.64,0.0,5.71,1.57,0.42,1.99,5.34,-3.35,0.0,-3.35,0.0,-3.35,-3.35,54.94,-0.61,-0.61,2.46,44.77,0.01,0.28,0.15
2015-12-31,21.85,0.34,22.19,17.45,0.21,1.85,3.63,0.0,3.07,-4.02,0.11,-3.91,5.33,-9.25,0.0,-9.25,0.0,-9.25,-9.25,54.94,-1.68,-1.68,0.0,0.0,0.0,0.0,0.0
2016-03-31,22.12,0.16,22.28,20.51,0.32,1.29,3.61,0.0,17.49,-20.95,0.13,-20.82,5.41,-26.23,-53.67,-79.9,3.9,-83.79,-83.79,54.94,-15.25,-15.25,0.0,0.0,0.0,0.0,0.0
2016-06-30,31.13,0.33,31.45,25.39,0.51,1.61,2.39,0.0,3.37,-1.81,0.03,-1.78,5.42,-7.2,0.0,-7.2,0.0,-7.2,-7.2,54.94,-1.31,-1.31,0.0,0.0,0.0,0.0,0.0
2016-09-30,34.77,0.51,35.29,28.56,0.4,1.47,2.39,0.0,4.49,-2.02,0.17,-1.85,5.64,-7.49,0.0,-7.49,0.0,-7.49,-7.49,54.94,-1.36,-1.36,0.0,0.0,0.0,0.0,0.0
2016-12-31,20.99,0.33,21.32,15.92,-0.14,1.4,2.39,0.0,3.02,-1.27,0.05,-1.22,6.44,-7.67,0.0,-7.67,0.0,-7.67,-7.67,54.94,-1.4,-1.4,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.92,0.0,17.92,12.93,1.06,1.37,3.3,0.58,3.13,-4.46,0.2,-4.26,6.42,-10.68,0.0,-10.68,0.0,-10.68,-10.68,54.94,-1.94,-1.94,0.0,0.0,0.0,0.0,0.0
2017-06-30,14.46,0.0,14.46,10.59,-0.02,1.25,2.53,0.0,2.59,-2.48,0.0,-2.48,5.14,-7.62,0.0,-7.62,0.0,-7.62,-7.62,54.94,-1.39,-1.39,0.0,0.0,0.0,0.0,0.0
2017-09-30,16.13,0.0,16.13,13.36,-0.8,1.16,2.61,0.0,2.91,-3.12,0.19,-2.93,7.14,-10.06,0.0,-10.06,0.0,-10.06,-10.06,54.94,-1.83,-1.83,0.0,0.0,0.0,0.0,0.0
2017-12-31,29.58,0.0,29.58,23.77,-0.8,1.18,2.47,0.0,3.7,-0.75,0.1,-0.65,6.66,-7.31,0.0,-7.31,0.0,-7.31,-7.31,54.94,-1.33,-1.33,0.0,0.0,0.0,0.0,0.0
2018-03-31,36.99,0.0,36.99,31.98,-0.25,1.36,2.74,0.0,5.11,-3.95,0.87,-3.08,8.84,-11.91,0.0,-11.91,0.0,-11.91,-11.91,54.94,-2.16,-2.16,0.0,0.0,0.0,0.0,0.0
2018-06-30,45.84,0.0,45.84,38.69,-1.17,1.44,2.56,0.0,3.63,0.7,0.04,0.74,7.37,-6.63,0.0,-6.63,0.0,-6.63,-6.63,54.94,-1.2,-1.2,0.0,0.0,0.0,0.0,0.0
2018-09-30,56.14,0.0,56.14,48.78,-2.4,1.64,2.61,0.0,4.68,0.83,0.03,0.86,6.84,-5.98,0.0,-5.98,0.0,-5.98,-5.98,54.94,-1.09,-1.09,0.0,0.0,0.0,0.0,0.0
2018-12-31,63.01,0.0,63.01,52.28,-0.58,1.81,2.52,0.0,4.59,2.39,0.03,2.42,6.66,-4.24,0.0,-4.24,0.0,-4.24,-4.24,54.94,-0.77,-0.77,0.0,0.0,0.0,0.0,0.0
2019-03-31,50.81,0.0,50.81,40.71,1.64,1.9,2.69,0.0,6.26,-2.4,0.66,-1.74,1.27,-3.01,108.53,105.53,0.0,105.53,105.53,89.48,12.96,12.96,0.0,0.0,0.0,0.0,0.0
2019-06-30,41.3,0.0,41.3,33.51,-0.53,1.81,2.13,0.0,3.82,0.56,0.22,0.78,1.6,-0.82,6.55,5.73,0.0,5.73,5.73,89.48,0.64,0.64,0.0,0.0,0.0,0.0,0.0
2019-09-30,15.29,0.0,15.29,13.61,-2.16,2.01,2.29,0.0,3.24,-3.71,2.01,-1.7,1.24,-2.94,0.0,-2.94,0.0,-2.94,-2.94,89.48,-0.33,-0.33,0.0,0.0,0.0,0.0,0.0
2019-12-31,24.42,0.0,24.42,27.55,-7.96,2.52,2.28,0.0,3.32,-3.28,0.09,-3.19,1.58,-4.77,0.0,-4.77,0.0,-4.77,-4.77,89.48,-0.53,-0.53,0.0,0.0,0.0,0.0,0.0
2020-03-31,44.73,0.0,44.73,46.05,-10.25,2.68,1.62,0.0,4.43,0.2,0.97,1.17,1.75,-0.57,0.0,-0.57,-2.42,1.84,1.84,89.48,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2020-06-30,29.94,0.0,29.94,18.08,6.29,2.13,2.14,0.0,2.2,-0.89,0.04,-0.85,1.62,-2.47,0.0,-2.47,0.0,-2.47,-2.47,89.48,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2020-09-30,69.37,0.0,69.37,53.52,2.88,2.76,2.18,0.0,6.06,1.97,0.09,2.06,1.63,0.44,0.0,0.44,0.0,0.44,0.44,89.48,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2020-12-31,114.32,0.0,114.32,99.25,-4.63,3.47,2.25,0.0,9.0,4.98,0.04,5.03,1.72,3.3,0.0,3.3,0.13,3.17,3.17,89.48,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2021-03-31,149.84,0.0,149.84,125.82,-6.84,4.12,2.06,0.0,12.48,12.19,0.91,13.1,1.94,11.16,0.0,11.16,0.0,11.16,11.16,89.48,1.25,1.25,0.0,0.0,0.0,0.0,0.0
2021-06-30,55.68,0.0,55.68,49.27,-4.13,3.64,2.41,0.0,5.76,-1.27,0.1,-1.17,2.46,-3.63,0.0,-3.63,0.0,-3.63,-3.63,89.48,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0
2021-09-30,96.34,0.0,96.34,88.33,-9.82,3.68,2.45,0.0,8.18,3.52,0.19,3.71,1.94,1.77,0.0,1.77,0.0,1.77,1.77,89.48,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2021-12-31,115.72,0.0,115.72,84.09,14.65,3.89,2.47,0.0,8.04,2.57,1.64,4.22,1.97,2.24,0.0,2.24,0.0,2.24,2.24,89.48,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2022-03-31,362.61,0.0,362.61,286.83,-3.25,9.44,5.9,0.0,38.31,25.38,1.03,26.41,4.83,21.59,0.0,21.59,7.59,13.99,13.99,89.48,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2022-06-30,295.4,0.0,295.4,267.76,-51.25,9.06,6.03,0.0,39.56,24.24,1.17,25.41,5.58,19.83,0.0,19.83,6.42,13.41,13.41,387.45,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2022-09-30,416.72,0.0,416.72,300.63,11.25,10.13,6.58,0.0,44.77,43.36,0.99,44.35,7.15,37.2,0.0,37.2,12.4,24.8,24.8,387.45,0.64,0.64,0.0,0.0,0.0,0.0,0.0
2022-12-31,644.43,0.0,644.43,476.32,20.48,10.72,6.14,0.0,56.21,74.55,1.92,76.47,7.43,69.04,0.0,69.04,22.66,46.38,46.38,387.45,1.19,1.19,0.0,0.0,0.0,0.0,0.0
2023-03-31,711.7,0.0,711.7,535.37,13.91,11.26,6.19,0.0,58.13,86.84,1.01,87.85,8.72,79.13,0.0,79.13,38.35,40.78,40.78,387.45,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2023-06-30,753.19,0.0,753.19,586.09,-2.61,11.22,6.54,0.0,61.15,90.79,2.22,93.01,8.37,84.65,0.0,84.65,21.05,63.6,63.6,399.49,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2023-09-30,879.3,0.0,879.3,696.14,-8.81,11.78,7.12,0.0,59.02,114.05,5.38,119.43,10.42,109.02,0.0,109.02,27.44,81.58,81.58,399.49,2.04,2.04,0.0,0.0,0.0,0.0,0.0
2023-12-31,895.84,0.0,895.84,706.02,-17.31,12.35,6.84,0.0,69.97,117.96,4.97,122.93,11.46,111.47,0.0,111.47,28.08,83.4,83.4,412.29,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2024-03-31,1112.93,0.0,1112.93,854.73,14.12,15.44,7.02,0.0,80.92,140.7,8.41,149.11,10.56,138.55,0.0,138.55,34.33,104.22,104.22,412.29,2.54,2.54,0.0,0.0,0.0,0.0,0.0
2024-06-30,894.93,0.0,894.93,716.73,-30.59,14.28,7.28,0.0,65.64,121.58,7.27,128.85,11.86,116.99,0.0,116.99,27.76,89.23,89.23,412.29,2.16,2.16,0.0,0.0,0.0,0.0,0.0
2024-09-30,973.63,0.0,973.63,807.61,-56.77,13.91,7.55,0.0,75.58,125.74,7.59,133.33,14.9,118.43,0.0,118.43,29.82,88.62,88.62,424.5,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2024-12-31,1000.04,0.0,1000.04,783.57,-17.23,14.42,7.76,0.0,78.15,133.36,10.64,144.0,12.54,131.46,0.0,131.46,33.6,97.86,97.86,424.5,2.31,2.31,0.0,0.0,0.0,0.0,0.0
2025-03-31,1002.04,0.0,1002.04,770.03,-8.78,15.93,8.11,0.0,80.23,136.51,8.74,145.25,13.81,131.45,0.0,131.45,34.12,97.33,97.33,424.5,2.29,2.29,0.0,0.0,0.0,0.0,0.0
