Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Interest,15.5,21.64,27.11,19.0,13.34,13.97,17.33,18.36,15.8,15.71,17.71,14.43,10.92,10.76,10.92,9.71,15.45,4.12,7.2,9.5,4.75,6.72,7.28,4.76,5.31,6.45,5.25,4.96,5.31,7.98,10.67,7.92,6.98,14.21,20.38,26.47
P/L Before Exceptional Items & Tax,86.75,218.49,174.72,182.73,51.26,128.98,173.91,115.35,36.23,169.11,97.6,85.82,95.69,103.85,132.55,128.25,43.23,89.31,107.02,113.0,101.8,62.12,93.14,102.15,27.35,42.46,127.82,109.85,29.38,52.18,108.16,91.6,31.01,75.69,84.45,67.75
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.0,--,--,--
P/L Before Tax,86.75,218.49,174.72,182.73,51.26,128.98,173.91,115.35,36.23,169.11,97.6,85.82,95.69,103.85,132.55,128.25,43.23,89.31,107.02,113.0,101.8,62.12,93.14,102.15,27.35,42.46,127.82,109.85,29.38,52.18,108.16,91.6,51.01,75.69,84.45,67.75
Tax,18.69,52.32,42.78,46.34,14.82,30.57,37.72,29.27,5.6,32.94,24.55,22.03,15.16,19.11,33.02,32.84,9.68,13.1,24.25,26.54,22.74,16.76,-7.43,33.84,9.62,14.53,38.56,36.9,9.47,17.76,32.85,30.38,6.87,20.22,24.93,20.07
P/L After Tax from Ordinary Activities,68.06,166.17,131.94,136.39,36.44,98.41,136.19,86.08,30.63,136.17,73.05,63.79,80.53,84.74,99.53,95.41,33.55,76.21,82.77,86.46,79.06,45.36,100.57,68.31,17.73,27.93,89.26,72.95,19.91,34.42,75.31,61.22,44.14,55.47,59.52,47.68
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,68.06,166.17,131.94,136.39,36.44,98.41,136.19,86.08,30.63,136.17,73.05,63.79,80.53,84.74,99.53,95.41,33.55,76.21,82.77,86.46,79.06,45.36,100.57,68.31,17.73,27.93,89.26,72.95,19.91,34.42,75.31,61.22,44.14,55.47,59.52,47.68
Equity Share Capital,192.27,192.26,192.26,192.26,192.21,192.21,192.21,192.21,192.16,192.16,192.16,192.16,192.11,192.11,192.11,192.1,192.07,192.07,192.07,192.07,192.04,192.04,192.04,192.03,192.03,192.03,192.03,192.03,192.03,192.03,185.32,185.13,185.13,91.98,91.98,91.98
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,717.88,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.54,8.64,6.86,7.09,1.9,5.12,7.09,4.48,1.59,7.09,3.8,3.32,4.19,4.41,5.18,4.97,1.75,3.97,4.31,4.5,4.12,2.36,5.24,3.56,0.89,1.42,4.65,3.76,1.0,1.76,4.03,3.27,--,2.94,3.56,--
Diluted EPS,3.54,8.64,6.86,7.09,1.9,5.12,7.09,4.48,1.59,7.08,3.8,3.32,4.19,4.41,5.18,4.97,1.75,3.97,4.31,4.5,4.12,2.36,5.24,3.56,0.89,1.42,4.65,3.76,1.0,1.76,4.03,3.27,--,2.77,3.43,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
