Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.23,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,666.07,552.6,581.13,656.68,580.03,509.66,523.15,536.1,471.85,390.02,426.72,318.82,170.14,104.12,63.97,118.05,63.42,82.7,116.94,291.33,353.39,275.6,259.95,435.21,230.02
"P/L Before Other Inc. , Int., Excpt. Items & Tax",403.58,359.82,361.07,347.06,380.07,352.56,329.3,313.39,315.43,286.3,307.37,264.35,267.42,199.69,100.28,126.35,85.03,-14.52,-52.86,191.5,253.41,133.65,94.9,47.0,93.51
Other Income,56.35,59.78,51.35,32.63,45.56,47.07,39.21,39.27,30.75,25.99,24.42,25.83,16.3,16.12,14.57,19.46,20.86,20.17,25.14,19.94,19.0,21.77,17.35,42.24,18.91
"P/L Before Int., Excpt. Items & Tax",459.93,419.59,412.41,379.7,425.63,399.63,368.51,352.66,346.19,312.3,331.78,290.18,283.72,215.81,114.85,145.82,105.89,5.65,-27.71,211.44,272.41,155.41,112.25,89.24,112.42
Interest,3.22,3.08,2.82,5.35,4.75,4.42,4.13,3.9,4.9,4.83,2.48,2.98,2.18,2.12,3.77,3.74,1.4,1.33,1.68,2.87,1.99,1.21,1.21,2.35,--
P/L Before Exceptional Items & Tax,456.71,416.51,409.59,374.35,420.87,395.21,364.38,348.76,341.29,307.46,329.3,287.21,281.54,213.69,111.08,142.08,104.49,4.31,-29.39,208.57,270.42,154.21,111.04,86.9,112.42
Exceptional Items,--,--,2.21,7.89,-14.51,--,-51.9,25.85,1.35,--,--,-4.0,--,--,--,-2.88,-0.1,42.37,0.01,0.41,--,--,0.7,--,--
P/L Before Tax,456.71,416.51,411.8,382.23,406.36,395.21,312.48,374.6,342.64,307.46,329.3,283.2,281.54,213.69,111.08,139.2,104.39,46.68,-29.38,208.98,270.42,154.21,111.74,86.9,112.42
Tax,115.5,108.7,104.12,97.87,106.36,100.53,80.26,95.8,87.11,81.43,83.78,69.42,72.73,55.12,28.55,35.42,26.3,14.05,-4.78,58.37,64.62,54.38,39.41,38.89,38.82
P/L After Tax from Ordinary Activities,341.21,307.82,307.68,284.37,300.0,294.68,232.22,278.8,255.53,226.03,245.52,213.78,208.81,158.57,82.52,103.79,78.09,32.63,-24.6,150.61,205.8,99.82,72.34,48.0,73.6
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,341.21,307.82,307.68,284.37,300.0,294.68,232.22,278.8,255.53,226.03,245.52,213.78,208.81,158.57,82.52,103.79,78.09,32.63,-24.6,150.61,205.8,99.82,72.34,48.0,73.6
Equity Share Capital,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,40.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,882.84,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.27,3.85,3.85,3.55,3.75,3.68,2.9,3.48,3.19,2.82,3.07,2.67,2.61,9.91,5.16,6.49,4.88,2.04,-1.54,9.41,12.86,6.24,--,--,4.6
Diluted EPS,4.27,3.85,3.85,3.55,3.75,3.68,2.9,3.48,3.19,2.82,3.07,2.67,2.61,9.91,5.16,6.49,4.88,2.04,-1.54,9.41,12.86,6.24,--,--,4.6
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
