Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18
Operating Profit before Provisions and contingencies,359.76,359.17,460.8,509.52,518.56,457.3,483.36,457.89,410.57,388.92,384.98,271.06,217.23,141.33,71.02,162.55,158.66,203.78,232.17,214.69,190.6,144.01,141.39,161.24,84.58,72.86
Provisions And Contingencies,264.5,222.8,150.51,109.85,79.0,62.91,46.92,26.11,-1.93,-0.22,-9.94,0.39,43.79,186.97,436.88,474.83,-25.22,583.45,100.52,140.34,96.88,30.53,24.79,18.79,12.37,7.0
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,95.26,136.37,310.29,399.67,439.56,394.39,436.44,431.78,412.5,389.14,394.92,270.67,173.44,-45.64,-365.86,-312.29,183.88,-379.67,131.65,74.35,93.72,113.48,116.6,142.45,72.21,65.86
Tax,11.87,27.75,77.26,98.59,109.93,94.33,108.7,107.71,103.0,95.95,100.63,67.73,46.92,-11.81,-92.07,-78.81,47.39,-100.84,35.65,19.7,20.57,23.82,23.97,47.97,8.43,20.55
P/L After Tax from Ordinary Activities,83.39,108.62,233.03,301.08,329.63,300.06,327.74,324.07,309.5,293.19,294.29,202.94,126.52,-33.83,-273.79,-233.47,136.49,-278.83,96.0,54.65,73.15,89.66,92.63,94.48,63.78,45.31
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,83.39,108.62,233.03,301.08,329.63,300.06,327.74,324.07,309.5,293.19,294.29,202.94,126.52,-33.83,-273.79,-233.47,136.49,-278.83,96.0,54.65,73.15,89.66,92.63,94.48,63.78,45.31
Equity Share Capital,1935.0,1934.54,1934.18,1932.57,1931.43,1956.54,1955.59,1954.78,1954.71,1954.5,1954.5,1728.31,1728.31,1728.31,1728.31,1728.31,1728.31,1728.25,1728.22,1728.22,1728.22,1728.22,1440.04,1440.04,1440.04,1440.04
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
c) Capital Adequacy Ratio - Basel -II,23.1,23.9,23.38,24.85,24.69,24.37,25.19,26.69,25.81,26.02,26.7,20.03,18.99,19.09,22.19,25.88,26.44,26.93,30.99,28.68,28.82,28.38,18.84,19.0,18.95,22.16
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.43,0.56,1.21,1.56,1.71,1.53,1.68,1.66,1.53,1.5,1.59,1.17,0.73,-0.2,-1.58,-1.35,0.79,-1.61,0.56,0.32,0.42,0.58,0.55,0.66,1.2,0.22
Diluted EPS,0.43,0.56,1.19,1.53,1.67,1.5,1.65,1.65,1.52,1.5,1.59,1.17,0.74,-0.2,-1.59,-1.35,0.79,-1.61,0.56,0.32,0.42,0.58,0.55,0.66,1.2,0.22
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,695.89,811.23,749.96,697.24,612.52,570.74,585.8,596.54,630.61,737.55,928.86,1146.71,1284.08,1611.66,1712.65,1374.98,1070.6,130.58,136.09,139.82,137.14,129.45,109.4,95.78,97.85,127.77
ii) Net NPA,152.43,164.94,164.08,111.24,76.29,42.75,21.81,12.62,9.04,9.48,7.32,17.8,99.6,251.55,685.14,348.73,424.58,6.4,19.08,25.1,27.49,51.49,42.53,29.12,27.55,23.75
i) % of Gross NPA,2.18,2.68,2.52,2.52,2.23,2.18,2.35,2.62,2.88,3.64,5.06,6.51,7.34,9.79,11.8,9.79,7.07,0.96,0.98,0.97,0.97,0.95,0.85,0.84,0.92,1.41
ii) % of Net NPA,0.49,0.56,0.56,0.41,0.28,0.17,0.09,0.06,0.04,0.05,0.04,0.11,0.61,1.67,3.29,2.68,2.93,0.05,0.14,0.18,0.2,0.38,0.33,0.26,0.26,0.26
Return on Assets %,0.18,0.25,0.55,0.73,0.84,0.78,0.89,0.97,0.97,1.04,1.19,0.86,0.57,-0.17,-1.39,-1.19,0.69,-1.51,0.5,0.29,0.42,0.54,0.61,0.68,0.51,0.43
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
