Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
P/L Before Tax,-35.3,211.06,411.28,124.6,241.14,-47.73,-18.6,-51.06,-6.06,11.18,19.13,-12.98,-96.91,-32.66,3.15,8.27,18.4,9.24,4.51,-9.88,-126.74,-14.61,-6.39,10.13,37.05,23.74,36.92,51.76,5.47,40.96,34.64,25.57,35.01,9.52,11.33,-1.37
Tax,26.71,45.64,145.1,44.75,81.95,2.85,-6.62,-36.41,-1.11,5.79,9.87,-6.3,-46.27,-8.61,-0.33,0.79,-15.02,--,--,--,--,97.28,-3.09,4.36,1.19,-7.93,2.91,6.61,-21.65,8.63,7.17,5.37,-0.94,2.22,--,--
P/L After Tax from Ordinary Activities,-62.01,165.42,266.18,79.85,159.19,-50.58,-11.98,-14.65,-4.95,5.39,9.26,-6.68,-50.64,-24.05,3.48,7.48,33.42,9.24,4.51,-9.88,-126.74,-111.89,-3.3,5.77,35.86,31.67,34.01,45.15,27.12,32.33,27.47,20.2,35.95,7.3,11.33,-1.37
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-62.01,165.42,266.18,79.85,159.19,-50.58,-11.98,-14.65,-4.95,5.39,9.26,-6.68,-50.64,-24.05,3.48,7.48,33.42,9.24,4.51,-9.88,-126.74,-111.89,-3.3,5.77,35.86,31.67,34.01,45.15,27.12,32.33,27.47,20.2,35.95,7.3,11.33,-1.37
Equity Share Capital,179.59,178.98,174.53,174.27,173.98,173.35,172.99,169.57,171.64,155.38,155.38,151.52,114.55,114.11,117.19,96.51,96.51,92.8,95.82,95.61,95.48,92.14,92.12,91.91,91.5,91.5,91.4,91.03,90.82,89.71,89.71,89.55,74.01,89.71,66.52,74.01
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,426.0,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,-3.53,9.42,15.53,4.67,9.34,-2.98,-0.71,-0.87,-0.31,0.35,0.61,-0.44,-4.43,-2.11,0.3,0.8,3.6,1.0,0.49,-1.07,-13.75,-12.15,-0.36,0.63,3.91,3.46,3.73,4.97,3.0,3.6,3.07,2.75,--,1.18,1.9,-0.25
Diluted EPS,-3.53,9.21,15.23,4.58,9.2,-2.98,-0.71,-0.87,-0.31,0.32,0.57,-0.44,-4.43,-2.11,0.28,0.77,3.47,0.97,0.49,-1.07,-13.75,-12.15,-0.36,0.6,3.78,3.29,3.53,4.71,2.84,3.39,2.9,2.62,--,1.18,1.9,-0.25
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
