Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,105.42,90.23,91.16,90.8,85.87,82.11,84.89,75.82,70.72,64.4,52.65,43.94,47.21,40.73,42.45,31.67,40.49,33.79,30.99,18.88,49.64,89.23,58.51,43.04,64.09,35.92,40.72,34.05,18.61,-2.93,1.15,41.23
"P/L Before Other Inc. , Int., Excpt. Items & Tax",527.78,344.39,735.96,1044.5,1009.91,914.12,892.16,849.43,742.36,522.6,427.04,404.48,419.32,363.38,279.44,236.05,283.57,84.02,295.79,270.06,197.36,290.28,261.4,270.85,219.42,262.26,219.99,209.6,191.11,197.92,180.14,106.24
Other Income,1.08,1.55,0.63,0.55,1.61,3.03,0.65,0.69,0.81,0.59,0.78,0.5,0.21,0.97,0.42,1.0,1.81,0.47,0.74,0.58,0.12,1.52,1.12,0.9,0.91,1.64,0.67,0.31,0.45,1.58,0.16,0.16
"P/L Before Int., Excpt. Items & Tax",528.86,345.94,736.59,1045.05,1011.52,917.15,892.81,850.12,743.17,523.19,427.82,404.98,419.53,364.35,279.86,237.05,285.38,84.49,296.53,270.64,197.48,291.8,262.52,271.75,220.33,263.9,220.66,209.91,191.56,199.5,180.3,106.4
Interest,477.78,474.87,484.6,510.31,482.15,441.5,423.87,384.92,345.64,258.71,221.26,225.64,216.54,192.5,182.75,196.34,186.02,179.89,191.73,185.1,167.64,145.88,135.51,123.62,102.73,110.19,106.61,97.55,80.93,100.6,88.41,84.26
P/L Before Exceptional Items & Tax,51.08,-128.93,251.99,534.74,529.37,475.65,468.94,465.2,397.53,264.48,206.56,179.34,202.99,171.85,97.11,40.71,99.36,-95.4,104.8,85.54,29.84,145.92,127.01,148.13,117.6,153.71,114.05,112.36,110.63,98.9,91.89,22.14
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,51.08,-128.93,251.99,534.74,529.37,475.65,468.94,465.2,397.53,264.48,206.56,179.34,202.99,171.85,97.11,40.71,99.36,-95.4,104.8,85.54,29.84,145.92,127.01,148.13,117.6,153.71,114.05,112.36,110.63,98.9,91.89,22.14
Tax,3.87,-29.41,65.93,137.08,132.38,122.23,119.73,118.91,100.98,67.06,47.85,46.76,51.62,42.64,25.12,11.12,27.09,-23.79,26.63,21.94,7.03,37.93,26.13,52.3,41.29,53.97,40.59,40.14,38.92,34.54,30.95,7.91
P/L After Tax from Ordinary Activities,47.21,-99.52,186.06,397.66,396.99,353.42,349.21,346.29,296.55,197.42,158.71,132.58,151.37,129.21,71.99,29.59,72.27,-71.61,78.17,63.6,22.81,107.99,100.88,95.83,76.31,99.74,73.46,72.22,71.71,64.36,60.94,14.23
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,47.21,-99.52,186.06,397.66,396.99,353.42,349.21,346.29,296.55,197.42,158.71,132.58,151.37,129.21,71.99,29.59,72.27,-71.61,78.17,63.6,22.81,107.99,100.88,95.83,76.31,99.74,73.46,72.22,71.71,64.36,60.94,14.23
Equity Share Capital,159.72,159.57,159.46,159.41,159.38,159.18,159.11,158.93,158.91,156.17,156.11,155.93,155.87,155.79,155.74,155.61,155.58,144.11,144.11,144.06,143.99,143.88,143.8,143.55,143.55,143.41,143.36,143.36,128.43,85.68,85.68,85.68
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.96,-6.24,11.67,24.95,24.93,22.21,21.95,21.79,18.67,12.64,10.17,8.5,9.71,8.29,4.62,1.9,4.65,-4.64,5.43,4.42,1.58,7.51,7.02,6.67,5.77,6.96,5.56,6.05,6.73,6.59,7.12,--
Diluted EPS,2.95,-6.24,11.61,24.82,24.78,22.06,21.82,21.67,18.59,12.59,10.12,8.46,9.67,8.26,4.6,1.89,4.61,-4.64,5.49,4.39,1.57,7.44,6.96,6.61,5.72,6.89,5.51,6.02,6.71,6.5,7.02,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
