Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,5912.18,4278.31,38.03,50.61,6201.23,48.46,4568.08,38.76,5311.61,24.95,4538.77,4312.02,5981.21,21.55,25.93,3590.05,5169.95,3462.98,2964.36,26.44,3966.94,3436.68,3515.85,2634.63,23.37,2788.05,3383.76,1723.31,14.88
"P/L Before Other Inc. , Int., Excpt. Items & Tax",380.75,255.57,265.28,169.22,450.73,241.48,290.9,342.24,366.58,269.1,311.47,274.68,399.87,314.9,222.26,223.51,348.77,215.86,159.12,133.46,200.11,213.03,192.45,160.65,175.62,190.81,158.81,87.07,146.08
Other Income,193.41,283.57,279.85,262.06,279.29,326.45,296.45,280.36,261.24,283.84,217.69,241.17,219.65,74.71,55.34,62.64,72.34,132.45,66.01,55.95,56.58,73.86,82.46,52.68,62.19,62.98,147.46,62.1,55.79
"P/L Before Int., Excpt. Items & Tax",574.16,539.14,545.13,431.27,730.02,567.93,587.35,622.6,627.82,552.94,529.16,515.85,619.52,389.61,277.6,286.15,421.11,348.31,225.13,189.42,256.69,286.89,274.91,213.33,237.81,253.78,306.27,149.17,201.87
Interest,116.97,144.59,140.61,137.34,150.75,138.99,132.69,146.05,146.31,146.94,130.83,157.29,146.19,8.19,5.69,6.72,7.82,6.1,6.62,7.73,7.94,7.02,8.88,17.14,22.08,9.34,20.56,11.21,11.76
P/L Before Exceptional Items & Tax,457.19,394.55,404.52,293.94,579.27,428.94,454.66,476.55,481.51,406.0,398.33,358.56,473.33,381.42,271.91,279.43,413.29,342.21,218.5,181.69,248.75,279.87,266.03,196.19,215.73,244.44,285.72,137.96,190.11
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.42,--,--,--,0.0
P/L Before Tax,457.19,394.55,404.52,293.94,579.27,428.94,454.66,476.55,481.51,406.0,398.33,358.56,473.33,381.42,271.91,279.43,413.29,342.21,218.5,181.69,248.75,279.87,266.03,196.19,228.15,244.44,285.72,137.96,190.11
Tax,83.85,99.56,102.01,76.13,145.95,102.96,84.57,142.98,136.23,64.98,99.75,75.46,101.32,99.64,49.85,68.07,69.41,61.44,45.75,38.54,51.45,81.93,21.45,46.15,42.31,53.15,27.57,28.69,26.6
P/L After Tax from Ordinary Activities,373.34,294.99,302.51,217.81,433.32,325.98,370.09,333.57,345.28,341.02,298.58,283.1,372.01,281.78,222.06,211.36,343.88,280.77,172.76,143.15,197.3,197.94,244.58,150.04,185.84,191.29,258.15,109.26,163.51
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,373.34,294.99,302.51,217.81,433.32,325.98,370.09,333.57,345.28,341.02,298.58,283.1,372.01,281.78,222.06,211.36,343.88,280.77,172.76,143.15,197.3,197.94,244.58,150.04,185.84,191.29,258.15,109.26,163.51
Equity Share Capital,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37.81
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.79,1.41,1.45,1.05,2.08,1.56,1.77,1.6,1.66,1.64,1.43,1.36,1.78,1.35,1.07,1.01,1.65,1.35,0.83,0.69,0.95,0.95,1.17,0.72,0.89,--,--,0.52,--
Diluted EPS,1.79,1.41,1.45,1.05,2.08,1.56,1.77,1.6,1.66,1.64,1.43,1.36,1.78,1.35,1.07,1.01,1.65,1.35,0.83,0.69,0.95,0.95,1.17,0.72,0.89,0.92,0.58,0.52,0.78
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
