Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
"P/L Before Other Inc. , Int., Excpt. Items & Tax",293.0,791.0,361.0,152.0,153.0,101.0,-14.0,-18.0,98.0,-40.0,-69.0,-143.0,9.0,120.0,15.0,23.0,45.0,15.77,-14.22,-5.98,-16.24,-3.17,-3.66,-21.51,-22.47,-9.58,-19.69,-1.83,262.55,33.04,-4.21,-4.23
Other Income,307.0,208.0,221.0,254.0,201.0,399.0,137.0,142.0,134.0,134.0,130.0,382.0,109.0,111.0,113.0,105.0,195.0,129.9,100.09,93.54,84.92,88.42,78.9,80.45,86.81,68.07,72.35,75.42,--,18.67,7.39,8.9
"P/L Before Int., Excpt. Items & Tax",600.0,999.0,582.0,406.0,354.0,500.0,123.0,124.0,232.0,94.0,61.0,239.0,118.0,231.0,128.0,128.0,240.0,145.67,85.87,87.57,68.69,85.25,75.24,58.93,64.33,58.5,52.65,73.59,262.55,51.7,3.18,4.68
Interest,368.0,426.0,475.0,481.0,470.0,377.0,364.0,310.0,409.0,222.0,154.0,107.0,288.0,317.0,78.0,92.0,74.0,74.44,62.33,46.44,55.06,49.72,54.65,53.71,56.55,74.5,72.41,84.78,3.54,28.55,10.07,10.93
P/L Before Exceptional Items & Tax,232.0,573.0,107.0,-75.0,-116.0,123.0,-241.0,-186.0,-177.0,-128.0,-93.0,132.0,-170.0,-86.0,50.0,36.0,166.0,71.23,23.54,41.12,13.62,35.53,20.59,5.23,7.78,-16.0,-19.75,-11.19,259.01,23.15,-6.89,-6.25
Exceptional Items,-61.0,--,-17.0,--,-71.0,--,--,--,-67.0,--,--,--,--,--,41.0,--,-13.0,--,--,134.98,--,--,--,--,--,--,--,--,-69.56,--,--,--
P/L Before Tax,171.0,573.0,90.0,-75.0,-187.0,123.0,-241.0,-186.0,-244.0,-128.0,-93.0,132.0,-170.0,-86.0,91.0,36.0,153.0,71.23,23.54,176.11,13.62,35.53,20.59,5.23,7.78,-16.0,-19.75,-11.19,189.46,23.15,-6.89,-6.25
Tax,88.0,16.0,-9.0,14.0,8.0,10.0,18.0,19.0,-4.0,-1.0,--,--,-54.0,-7.0,-10.0,-1.0,18.0,1.5,0.58,38.59,-51.05,9.3,-17.6,-0.3,-0.11,-0.73,-2.64,-0.7,-44.53,--,--,--
P/L After Tax from Ordinary Activities,83.0,557.0,99.0,-89.0,-195.0,113.0,-259.0,-205.0,-240.0,-127.0,-93.0,132.0,-116.0,-79.0,101.0,37.0,135.0,69.74,22.95,137.52,64.67,26.23,38.19,5.52,7.89,-15.27,-17.12,-10.49,233.99,23.15,-6.89,-6.25
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-5.91,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,83.0,557.0,99.0,-89.0,-195.0,113.0,-259.0,-205.0,-240.0,-127.0,-93.0,132.0,-116.0,-79.0,101.0,37.0,135.0,69.74,22.95,137.52,64.67,26.23,38.19,5.52,7.89,-15.27,-17.12,-10.49,228.08,23.15,-6.89,-6.25
Equity Share Capital,1584.0,1584.0,1584.0,1584.0,1584.0,1584.0,1584.0,1584.0,1584.0,1584.03,1584.0,1584.0,1564.0,1564.0,1564.0,1564.0,1564.0,1564.01,1564.01,1564.01,1564.01,1564.01,1564.01,1564.01,1564.01,1564.01,1564.01,1564.01,1376.75,1564.01,1376.75,1376.75
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-38.6,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.45,3.42,0.53,-0.95,-1.33,0.61,-1.73,-1.39,-1.62,-0.9,-0.68,0.74,-0.84,-0.61,0.55,0.14,0.77,0.35,0.05,0.78,0.31,0.07,0.14,0.06,0.04,-0.1,-0.11,-0.07,--,0.15,-0.05,--
Diluted EPS,0.45,3.42,0.53,-0.95,-1.33,0.61,-1.73,-1.39,-1.62,-0.9,-0.68,0.74,-0.84,-0.61,0.55,0.14,0.77,0.35,0.05,0.78,0.31,0.07,0.14,0.06,0.04,-0.1,-0.11,-0.07,--,0.15,-0.05,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
