Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,-0.87,286.96,148.8,426.17,189.73,387.67,167.11,384.35,136.05,281.73,120.65,287.98,-115.76,-768.25,-232.34,-280.29,-1278.39,-316.6
Tax,-1.38,71.82,37.51,107.24,47.41,98.12,41.81,96.5,34.26,71.26,27.55,74.74,-33.72,-189.88,-61.85,-70.51,-321.47,-74.7
P/L After Tax from Ordinary Activities,0.51,215.14,111.29,318.93,142.32,289.55,125.3,287.85,101.79,210.47,93.1,213.24,-82.04,-578.37,-170.49,-209.78,-956.92,-241.9
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,0.51,215.14,111.29,318.93,142.32,289.55,125.3,287.85,101.79,210.47,93.1,213.24,-82.04,-578.37,-170.49,-209.78,-956.92,-241.9
Equity Share Capital,587.79,587.68,587.57,585.47,585.28,585.11,584.27,581.98,581.68,581.68,578.21,576.1,575.52,575.52,553.29,575.52,548.09,523.01
Reserves Excluding Revaluation Reserves,6435.85,6433.89,6217.24,6078.02,5756.34,5610.36,5309.87,5145.99,4852.25,4746.72,4300.91,4173.76,5718.06,5708.26,3765.17,--,3675.79,2677.27
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,
Basic EPS,0.01,3.66,1.9,5.45,2.43,4.95,2.15,4.95,1.75,3.63,1.61,3.7,-1.43,-10.34,-3.08,-3.65,-17.46,-4.63
Diluted EPS,0.01,3.62,1.87,5.36,2.39,4.86,2.1,4.83,1.71,3.54,1.59,3.59,-1.43,-10.34,-3.08,--,-18.28,-4.91
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
