Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Money Received Against Share Warrants,Equity Share Application Money,Capital Work-In-Progress,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,75.53,75.53,1543.19,1543.19,0.0,1629.82,110.14,1.0,0.24,111.69,0.0,0.58,6.93,49.35,1790.87,1.54,0.0,1.54,3.15,1479.18,0.0,0.0,217.13,88.62,5.93,311.69,1790.87,380.35,0.12,0.0,0.0,44.99,0.0,1313.42,0.0,0.3,41.84,1313.42,161.06,11.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,78.37,78.37,1564.81,1564.81,0.0,1643.18,110.03,1.0,0.21,111.46,121.88,1.03,7.47,194.03,1948.67,1.89,0.16,2.05,3.62,1829.49,0.0,0.0,33.22,75.79,10.18,119.18,1948.67,13.37,0.36,0.0,0.0,44.99,0.0,1591.61,0.0,0.22,63.65,1661.61,162.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,78.9,78.9,1576.12,1576.12,0.0,1655.02,109.79,1.0,0.2,111.01,426.34,0.87,9.83,505.91,2271.94,2.73,0.13,2.86,2.45,1926.78,0.0,0.0,12.54,312.52,20.1,345.16,2271.94,16.17,0.32,0.0,0.0,44.99,0.0,1686.6,0.0,0.02,68.87,1756.6,164.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,79.45,79.45,1646.07,1646.07,0.0,1725.52,109.93,1.0,0.28,111.21,206.56,0.93,8.56,216.66,2053.39,2.15,0.1,2.25,2.01,1922.42,0.0,0.0,11.73,104.74,14.5,130.97,2053.39,20.16,0.37,0.0,0.0,44.99,70.0,1699.15,0.0,0.0,0.61,1769.15,149.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,83.79,83.79,2407.24,2407.24,0.0,2491.02,123.28,10.87,10.65,145.66,0.0,8.94,33.59,42.52,2679.21,5.01,0.56,5.57,172.35,177.92,2424.17,24.03,42.74,0.0,10.35,2501.29,2679.21,96.18,2.04,0.0,11.35,44.99,0.0,0.0,2398.91,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,83.99,83.99,2363.64,2363.64,34.32,2481.96,125.63,3.89,10.76,140.28,1.29,3.04,30.56,34.88,2657.12,4.91,0.36,5.28,188.18,193.46,2388.79,10.04,15.29,36.0,13.54,2463.66,2657.12,142.29,1.89,0.0,2.85,44.99,0.0,0.0,2380.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,84.12,84.12,2457.25,2457.25,31.91,2573.28,122.42,28.37,11.28,162.07,0.72,3.72,103.35,107.79,2843.14,76.85,0.25,77.1,172.35,249.45,2528.44,22.35,21.93,0.0,20.97,2593.69,2843.14,104.28,0.74,0.0,44.24,44.99,0.0,0.0,2528.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,95.27,95.27,3407.59,3407.59,0.0,3502.86,118.87,33.02,12.1,163.99,0.6,5.03,117.99,123.62,3790.47,68.39,0.43,68.82,163.97,232.79,3021.36,49.91,15.14,449.61,21.66,3557.68,3790.47,81.9,0.51,0.0,37.18,44.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,95.41,95.41,3641.1,3641.1,0.0,3736.51,129.52,20.12,9.66,159.3,0.0,9.05,131.77,140.82,4036.63,60.28,0.32,60.6,160.19,220.79,3250.97,28.38,85.99,438.56,11.94,3815.84,4036.63,98.18,0.47,0.0,69.64,44.99,0.0,0.0,3070.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,95.48,95.48,3707.87,3707.87,13.39,3816.74,130.76,10.89,10.27,151.92,0.0,7.52,106.78,114.3,4082.96,53.1,0.35,53.45,163.66,217.11,3070.74,30.28,13.51,737.04,14.28,3865.85,4082.96,92.18,0.79,0.0,12.05,44.99,0.0,0.0,3070.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,95.56,95.56,4013.97,4013.97,0.0,4109.53,143.99,30.96,12.45,187.4,0.0,21.61,133.79,155.4,4452.33,45.5,2.52,48.02,156.63,204.65,3657.46,77.63,45.18,457.37,10.04,4247.68,4452.33,258.31,1.36,0.0,1.03,44.99,0.0,0.0,3657.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
