Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-12-31,77.24,0.0,77.24,22.05,2.97,2.99,10.28,38.95,1.37,40.32,1.76,38.56,38.56,10.01,28.55,28.55,95.24,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2021-03-31,126.5,0.0,126.5,24.65,2.98,1.16,9.77,87.94,6.48,94.42,1.82,92.6,92.6,23.94,68.66,68.66,95.27,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2021-06-30,158.55,0.0,158.55,44.69,2.89,-3.03,15.86,98.14,1.23,99.37,1.75,97.62,97.62,22.55,75.07,75.07,95.35,0.79,0.79,0.0,0.0,0.0,0.0,0.0
2021-09-30,149.92,0.0,149.92,28.3,2.89,1.75,13.58,103.4,50.13,153.53,1.7,151.83,151.83,24.48,127.35,127.35,95.36,1.34,1.33,0.0,0.0,0.0,0.0,0.0
2021-12-31,154.34,0.0,154.34,27.59,2.47,0.32,29.55,94.41,2.05,96.46,1.66,94.8,94.8,23.07,71.73,71.73,95.4,0.75,0.75,0.0,0.0,0.0,0.0,0.0
2022-03-31,97.6,0.0,97.6,15.58,2.44,0.0,11.13,68.45,4.85,73.3,1.65,71.65,71.65,18.02,53.63,53.63,95.41,0.56,0.56,0.0,0.0,0.0,0.0,0.0
2022-06-30,113.28,0.0,113.28,28.72,2.49,1.23,21.19,59.65,1.5,61.15,1.62,59.53,59.53,12.88,46.65,46.65,95.44,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2022-09-30,66.08,0.0,66.08,20.64,2.48,2.55,8.14,32.27,61.6,93.87,1.61,92.26,92.26,7.85,84.41,84.41,95.48,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2022-12-31,90.43,0.0,90.43,31.79,2.52,0.0,11.48,44.64,90.97,135.61,1.46,134.15,134.15,12.22,121.93,121.93,95.48,1.28,1.28,0.0,0.0,0.0,0.0,0.0
2023-03-31,66.25,0.0,66.25,21.75,2.54,1.27,13.58,27.11,1.68,28.79,1.44,27.35,27.35,7.27,20.08,20.08,95.48,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2023-06-30,142.23,0.0,142.23,45.82,2.73,1.92,30.18,61.58,2.81,64.39,1.5,62.89,62.89,13.05,49.84,49.84,95.5,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2023-09-30,167.17,0.0,167.17,63.8,2.79,3.34,32.43,64.81,98.31,163.12,1.33,161.79,161.79,19.32,142.47,142.47,95.51,1.49,1.49,0.0,0.0,0.0,0.0,0.0
2023-12-31,217.52,0.0,217.52,75.29,2.74,0.0,25.57,113.92,5.55,119.47,1.34,118.13,118.13,28.31,89.82,89.82,95.55,0.94,0.94,0.0,0.0,0.0,0.0,0.0
2024-03-31,191.01,0.0,191.01,-1.06,2.63,85.3,37.06,67.08,1.64,68.72,1.33,67.39,67.39,39.92,27.47,27.47,95.56,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2024-06-30,138.63,0.0,138.63,55.15,3.59,-0.92,35.58,45.23,1.58,46.81,1.6,45.21,45.21,10.7,34.51,34.51,95.57,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2024-09-30,237.47,0.0,237.47,67.99,4.28,1.25,89.32,74.63,192.27,266.9,1.88,265.02,265.02,-34.19,299.21,299.21,95.58,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2024-12-31,209.21,0.0,209.21,65.28,4.33,0.8,51.81,86.99,1.61,88.6,1.81,86.79,86.79,16.32,70.47,70.47,95.58,0.74,0.74,0.0,0.0,0.0,0.0,0.0
2025-03-31,251.89,0.0,251.89,68.75,4.4,-0.23,29.78,149.19,4.61,153.8,1.72,152.08,152.08,17.53,134.55,134.55,95.58,1.41,1.41,0.0,0.0,0.0,0.0,0.0
