Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,123.65,0.0,123.65,0.0,2.9,17.23,1.1,23.98,0.0,67.09,11.35,2.65,14.0,1.43,12.57,0.0,12.57,3.34,9.23,9.23,17.42,5.31,5.31,0.0,0.0,0.0,0.0,0.0
2020-03-31,105.45,0.0,105.45,0.0,2.12,12.11,1.12,10.52,0.0,50.7,28.88,2.74,31.62,1.37,30.25,0.0,30.25,7.43,22.82,22.82,17.43,13.23,13.16,0.0,0.0,0.0,0.0,0.0
2020-06-30,74.39,0.0,74.39,0.0,7.43,14.36,1.24,6.96,0.0,25.03,19.37,5.41,24.78,0.95,23.83,0.0,23.83,6.24,17.59,17.59,17.43,10.21,10.15,0.0,0.0,0.0,0.0,0.0
2020-09-30,107.69,0.0,107.69,0.0,2.31,14.51,1.2,13.76,0.0,42.18,33.73,2.94,36.67,0.81,35.86,0.0,35.86,9.31,26.55,26.55,17.43,15.5,15.4,0.0,0.0,0.0,0.0,0.0
2020-12-31,131.17,0.0,131.17,8.99,9.69,13.98,1.2,0.0,0.0,61.98,35.33,3.43,38.76,0.8,37.96,0.0,37.96,9.78,28.18,28.18,17.43,16.45,16.29,0.0,0.0,0.0,0.0,0.0
2021-03-31,121.0,0.0,121.0,0.0,4.18,14.04,1.76,16.13,0.0,53.5,31.39,17.3,48.69,0.89,47.8,0.0,47.8,13.1,34.7,34.7,17.43,20.07,19.88,0.0,0.0,0.0,0.0,0.0
2021-06-30,102.23,0.0,102.23,0.0,-9.65,13.55,2.28,10.17,0.0,50.93,34.95,2.82,37.77,0.68,37.09,0.0,37.09,9.46,27.63,27.63,17.43,15.95,15.88,0.0,0.0,0.0,0.0,0.0
2021-09-30,142.13,0.0,142.13,7.48,-1.74,17.11,2.74,17.15,0.0,58.39,41.0,5.19,46.19,1.41,44.78,0.0,44.78,11.53,33.25,33.25,17.43,19.13,19.1,0.0,0.0,0.0,0.0,0.0
2021-12-31,146.58,0.0,146.58,14.88,-11.9,15.29,3.52,14.83,0.0,60.22,49.74,8.16,57.9,0.94,56.96,0.0,56.96,14.48,42.48,42.48,19.28,23.06,23.02,0.0,0.0,0.0,0.0,0.0
2022-03-31,177.37,0.0,177.37,0.0,0.0,15.13,4.48,19.82,0.0,90.54,47.4,17.24,64.64,1.48,63.16,0.0,63.16,16.1,47.06,47.06,19.28,2.44,2.44,0.0,0.0,0.0,0.0,0.0
2022-06-30,147.86,0.0,147.86,0.0,0.0,15.89,3.99,16.37,0.0,64.13,47.48,9.78,57.26,1.38,55.88,0.0,55.88,14.27,41.61,41.61,19.28,2.16,2.16,0.0,0.0,0.0,0.0,0.0
2022-09-30,164.21,0.0,164.21,0.0,0.0,18.89,4.46,17.21,0.0,71.8,51.85,11.52,63.37,1.29,62.08,0.0,62.08,15.86,46.22,46.22,19.28,2.4,2.4,0.0,0.0,0.0,0.0,0.0
2022-12-31,181.58,0.0,181.58,0.0,0.0,18.78,5.87,23.97,0.0,75.9,57.06,15.42,72.48,1.35,71.13,0.0,71.13,18.04,53.09,53.09,19.28,2.76,2.76,0.0,0.0,0.0,0.0,0.0
2023-03-31,201.53,0.0,201.53,0.0,0.0,20.47,6.5,17.18,0.0,118.46,38.92,23.54,62.46,1.69,60.77,0.0,60.77,16.21,44.56,44.56,19.28,2.32,2.32,0.0,0.0,0.0,0.0,0.0
2023-06-30,162.14,0.0,162.14,0.0,0.0,33.96,7.04,18.49,0.0,59.36,43.29,17.17,60.46,1.49,58.97,0.0,58.97,15.66,43.31,43.31,19.28,2.25,2.25,0.0,0.0,0.0,0.0,0.0
2023-09-30,170.98,0.0,170.98,0.0,0.0,21.61,8.25,12.99,0.0,74.34,53.79,12.97,66.76,0.36,66.4,0.0,66.4,17.56,48.84,48.84,19.28,2.54,2.54,0.0,0.0,0.0,0.0,0.0
2023-12-31,187.21,0.0,187.21,0.0,0.0,20.69,8.92,17.12,0.0,86.63,53.85,13.92,67.77,1.07,66.7,0.0,66.7,17.63,49.07,49.07,19.28,2.55,2.55,0.0,0.0,0.0,0.0,0.0
2024-03-31,238.44,0.0,238.44,0.0,0.0,20.45,9.99,15.56,0.0,122.93,69.51,14.37,83.88,0.51,83.37,0.0,83.37,21.59,61.78,61.78,19.28,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2024-06-30,172.96,0.0,172.96,0.0,0.0,18.97,11.52,0.0,0.0,103.03,39.44,11.41,50.85,0.03,50.82,0.0,50.82,13.51,37.31,37.31,19.28,1.94,1.94,0.0,0.0,0.0,0.0,0.0
2024-09-30,213.41,0.0,213.41,0.0,0.0,24.73,12.42,0.0,0.0,124.37,51.89,11.92,63.81,0.47,63.34,0.0,63.34,14.28,49.06,49.06,19.28,2.55,2.55,0.0,0.0,0.0,0.0,0.0
2024-12-31,406.91,0.0,406.91,0.0,0.0,21.05,14.02,0.0,0.0,303.48,68.36,14.87,83.23,0.22,83.01,0.0,83.01,21.58,61.43,61.43,19.28,3.19,3.18,0.0,0.0,0.0,0.0,0.0
2025-03-31,215.93,0.0,215.93,0.0,0.0,19.68,15.39,19.55,0.0,104.01,57.3,17.52,74.82,0.18,74.64,0.0,74.64,19.13,55.51,55.51,19.28,2.89,2.88,0.0,0.0,0.0,0.0,0.0
