Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Long Term Borrowings,Capital Work-In-Progress,"Stores, Spares And Loose Tools",Equity Share Application Money,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods,Capital Goods
2014-03-31,17.4,17.4,30.47,127.24,157.72,0.0,175.12,0.0,0.18,1.15,2.46,5.41,24.93,14.81,16.7,61.85,239.43,79.8,9.58,0.0,0.0,89.38,50.21,2.53,0.02,148.82,0.0,2.05,39.19,9.18,40.18,0.0,90.61,239.43,18.09,0.94,0.02,20.93,0.18,77.32,54.3,0.0,0.0,6.68,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,17.4,17.4,30.22,138.8,169.02,0.0,186.42,0.0,0.0,1.41,1.41,4.3,26.42,15.68,20.96,67.36,255.2,75.68,7.62,0.0,0.0,83.3,48.01,2.83,0.02,141.75,0.0,4.8,58.05,3.93,46.66,0.0,113.45,255.2,25.67,0.16,0.0,30.19,0.18,76.09,30.07,0.0,0.0,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,17.4,17.4,30.08,143.34,173.42,0.0,190.82,0.0,0.0,1.31,1.31,0.0,28.84,24.95,27.34,81.13,273.26,76.85,7.11,0.0,0.0,83.96,48.02,5.2,0.02,147.82,0.0,0.97,49.15,23.77,51.39,0.17,125.44,273.26,28.94,2.32,0.0,46.87,0.18,59.56,29.7,0.0,0.0,10.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.4,17.4,0.0,323.62,323.62,0.0,341.02,42.46,1.9,0.0,44.36,0.0,37.06,19.87,26.17,83.09,468.48,189.28,6.19,0.0,2.47,197.95,123.18,4.22,1.91,327.26,0.0,9.89,55.59,15.65,2.83,57.25,141.22,468.48,27.52,5.13,0.0,47.93,0.18,106.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,17.41,17.41,0.0,364.69,364.69,0.0,382.11,45.58,2.06,0.0,47.63,12.92,38.64,47.06,35.85,134.46,564.2,188.12,6.14,0.0,2.42,196.68,138.94,3.44,11.14,350.2,0.0,47.25,78.1,7.98,0.54,80.14,214.0,564.2,67.42,97.93,0.0,60.26,0.18,121.75,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,17.41,17.41,0.0,408.73,408.73,0.0,426.14,55.74,2.46,0.0,58.2,60.81,52.55,58.54,35.55,207.46,691.79,205.59,6.87,0.0,2.36,214.83,136.98,4.6,1.54,357.94,0.0,92.44,112.96,3.23,1.26,123.96,333.86,691.79,60.97,184.05,0.0,66.5,0.18,119.84,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,17.43,17.43,0.0,396.36,396.36,0.0,413.79,45.08,2.88,0.0,47.96,6.33,52.2,47.46,51.41,157.4,619.15,205.68,11.03,0.0,2.31,219.02,80.5,4.38,2.25,306.14,0.0,89.07,110.3,5.24,1.32,107.06,313.0,619.15,65.13,83.38,0.0,92.64,0.18,60.07,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,17.43,17.43,0.0,492.11,492.11,0.0,509.54,49.23,4.3,0.0,53.52,0.0,52.61,88.39,70.79,211.78,774.84,205.61,17.88,1.95,2.25,227.69,109.85,1.92,11.17,350.63,25.16,65.47,89.59,140.13,13.25,90.61,424.22,774.84,58.3,21.35,0.0,101.84,0.18,89.34,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,19.28,19.28,0.0,1352.55,1352.55,0.0,1371.83,56.55,4.38,0.0,60.93,0.0,61.64,87.12,90.03,238.79,1671.56,215.24,60.13,1.75,2.19,279.31,163.94,0.0,31.11,474.36,505.71,103.17,107.51,318.07,23.85,138.89,1197.2,1671.56,111.86,66.51,0.0,179.1,0.18,143.73,0.0,0.0,505.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,19.28,19.28,110.9,1199.13,1310.02,3.08,1332.38,47.29,4.28,0.0,51.57,0.0,67.34,141.59,91.26,300.18,1684.13,221.32,114.26,4.05,2.14,341.77,15.54,0.0,110.3,467.62,212.36,162.27,151.33,504.54,26.21,159.81,1216.52,1684.13,141.26,62.34,0.0,277.99,0.18,0.0,18.74,212.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,19.28,19.28,110.92,1332.29,1443.21,0.0,1462.49,49.44,75.94,4.32,129.71,0.0,66.67,114.54,64.19,245.39,1837.59,222.62,182.91,5.54,2.08,413.15,257.67,0.0,48.23,719.05,109.95,224.22,143.56,490.74,22.07,128.0,1118.54,1837.59,184.23,51.83,0.0,198.29,0.18,0.0,260.86,109.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
