Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-09-30,0.21,0.0,0.21,0.0,0.0,-1.72,0.95,0.12,0.0,46.59,-45.73,8.26,-37.48,29.04,-66.52,0.0,-66.52,-4.53,-61.99,0.0,0.0,-61.99,243.26,-2.55,-2.55,0.0,0.0,0.0,0.0,0.0
2019-12-31,0.2,0.0,0.2,0.0,0.0,-1.56,0.94,0.11,0.0,10.56,-9.85,9.29,-0.57,31.99,-32.56,0.0,-32.56,-1.34,-31.22,0.0,0.0,-31.22,243.26,-1.28,-1.28,0.0,0.0,0.0,0.0,0.0
2020-03-31,-0.15,0.0,-0.15,0.0,0.0,-2.87,0.47,0.1,0.0,5.96,-3.82,7.55,3.73,33.3,-29.57,0.0,-29.57,2.94,-32.51,0.0,0.0,-32.51,243.26,-1.34,-1.34,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.05,0.0,0.05,0.0,0.0,-1.7,0.45,0.09,0.0,48.8,-47.6,28.94,-18.65,38.18,-56.83,0.0,-56.83,1.04,-57.87,0.0,0.0,-57.87,243.26,-2.38,-2.38,0.0,0.0,0.0,0.0,0.0
2020-09-30,0.05,0.0,0.05,0.0,0.0,-2.19,0.5,0.08,0.0,7.86,-6.2,27.21,21.0,34.88,-13.88,0.0,-13.88,5.74,-19.62,0.0,0.0,-19.62,243.26,-0.81,-0.81,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.05,0.0,0.05,0.0,0.0,-2.14,0.51,0.07,0.0,17.55,-15.95,5.38,-10.57,39.86,-50.42,180.68,130.25,1.28,128.98,0.0,0.0,128.98,243.26,5.3,5.3,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.05,0.0,0.05,0.0,0.0,-2.11,0.47,0.53,0.0,-7.98,9.13,86.05,95.18,46.81,48.37,0.0,48.37,10.8,37.57,0.0,0.0,37.57,243.26,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2021-06-30,0.05,0.0,0.05,0.0,0.0,-2.3,0.44,0.08,0.0,8.89,-7.06,5.79,-1.27,30.98,-32.25,0.0,-32.25,1.22,-33.46,0.0,0.0,-33.46,243.26,-1.38,-1.38,0.0,0.0,0.0,0.0,0.0
2021-09-30,2.65,0.0,2.65,0.0,0.0,-2.52,0.28,0.05,0.0,225.63,-220.8,15.67,-205.13,37.87,-243.0,0.0,-243.0,1.64,-244.64,0.0,0.0,-244.64,243.26,-10.06,-10.06,0.0,0.0,0.0,0.0,0.0
2021-12-31,0.05,0.0,0.05,0.0,0.0,-3.47,0.31,9.36,0.0,23.86,-30.02,6.91,-23.11,0.02,-23.14,0.0,-23.14,0.86,-24.0,0.0,0.0,-24.0,243.26,-0.99,-0.99,0.0,0.0,0.0,0.0,0.0
2022-03-31,1.12,0.0,1.12,14.77,0.0,-15.91,0.03,0.02,0.0,10.79,-8.59,8.67,0.08,2.75,-2.67,273.9,271.23,44.28,226.96,0.0,0.0,226.96,259.06,9.33,8.85,0.0,0.0,0.0,0.0,0.0
2022-06-30,0.0,0.0,0.0,8.59,0.0,-8.59,0.64,0.02,0.0,13.93,-14.59,22.09,7.5,2.92,4.58,0.0,4.58,5.27,-0.69,0.0,0.0,-0.69,259.06,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
2022-09-30,2.5,0.0,2.5,2.69,0.0,-2.69,0.84,0.04,0.0,7.12,-5.5,23.15,17.65,2.85,14.81,0.0,14.81,4.79,10.02,0.0,0.0,10.02,342.06,0.37,0.34,0.0,0.0,0.0,0.0,0.0
2022-12-31,1.08,0.0,1.08,4.66,0.0,-4.66,0.77,0.04,0.0,11.15,-10.89,46.56,35.67,2.57,33.11,0.0,33.11,9.56,23.54,0.0,0.0,23.54,342.06,0.77,0.68,0.0,0.0,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0,3.88,0.0,-3.88,0.44,0.04,0.0,3.61,-4.09,13.96,9.87,6.81,3.06,0.0,3.06,0.76,2.3,0.0,0.0,2.3,352.15,0.04,0.01,0.0,0.0,0.0,0.0,0.0
2023-06-30,0.0,0.0,0.0,1.94,0.0,-1.94,0.68,0.04,0.0,5.13,-5.85,0.43,-5.42,6.53,-11.95,0.0,-11.95,0.86,-12.82,0.0,0.0,-12.82,352.15,-0.36,-0.36,0.0,0.0,0.0,0.0,0.0
2023-09-30,0.0,0.0,0.0,0.0,1.89,-1.89,0.59,0.03,0.0,9.52,-10.14,683.99,673.84,7.35,666.49,91.86,758.36,70.57,687.78,0.0,0.0,687.78,501.57,17.89,16.38,0.0,0.0,0.0,0.0,0.0
2023-12-31,1.0,0.0,1.0,0.0,0.0,-1.43,0.59,0.03,0.0,50.69,-48.89,191.81,142.92,-5.14,148.06,9.07,157.12,0.03,157.09,0.0,0.0,157.09,501.57,3.13,3.12,0.0,0.0,0.0,0.0,0.0
2024-03-31,7.72,0.0,7.72,0.0,0.0,-3.99,0.56,0.05,0.0,48.46,-37.36,10.8,-26.56,2.17,-28.73,0.0,-28.73,1.29,-30.02,0.0,0.0,-30.02,537.79,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0,0.0,-16.38,3.27,0.03,0.0,41.82,-28.73,12.78,-15.96,2.06,-18.01,0.0,-18.01,-0.4,-17.61,0.0,0.0,-17.61,538.47,-0.35,-0.35,0.0,0.0,0.0,0.0,0.0
2024-09-30,1.5,0.0,1.5,0.0,0.0,15.97,4.61,0.03,0.0,144.8,-163.91,80.67,-83.25,2.09,-85.34,0.0,-85.34,4.17,-89.51,0.0,0.0,-89.51,538.47,-1.66,-1.66,0.0,0.0,0.0,0.0,0.0
2024-12-31,1.22,0.0,1.22,0.0,0.0,-1.85,4.07,0.03,0.0,8.9,-9.92,7.29,-2.63,2.12,-4.75,0.0,-4.75,-1.22,-3.53,0.0,0.0,-3.53,538.47,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0
