Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Long Term Loans And Advances,Raw Materials,Money Received Against Share Warrants,Deferred Tax Assets [Net],Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,19.79,19.79,230.92,288.23,308.02,39.46,4.53,3.17,1.21,48.37,102.03,114.08,47.15,2.22,265.48,621.87,266.17,2.01,2.11,0.0,270.28,5.79,1.06,341.53,8.83,160.54,68.28,13.65,29.03,0.0,280.34,621.87,97.48,5.12,11.11,0.0,0.0,5.79,0.0,8.83,0.0,57.31,64.4,104.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,19.79,19.79,235.84,293.14,312.93,31.73,8.63,3.99,1.28,45.64,85.83,114.7,61.72,7.33,269.57,628.14,272.45,1.41,5.79,0.0,279.66,3.98,2.48,359.65,13.97,141.24,80.61,11.34,21.32,0.0,268.49,628.14,58.83,3.94,14.64,6.56,0.0,3.98,0.0,13.97,0.0,57.3,73.52,67.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.46,53.68,256.29,282.68,336.36,23.97,11.93,4.38,1.47,41.75,82.42,110.94,61.04,8.6,263.0,641.11,304.91,1.38,0.67,0.0,306.95,17.56,2.98,401.86,3.17,123.35,81.33,10.54,20.86,0.0,239.26,641.11,77.75,2.68,8.14,0.0,0.0,17.56,0.0,3.17,30.22,26.39,74.37,49.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.46,53.68,333.69,333.69,387.37,37.66,4.15,0.0,7.66,49.47,24.8,147.36,87.2,1.38,260.74,697.58,324.88,1.4,5.95,10.92,343.15,15.55,51.02,425.86,18.19,113.17,103.86,12.56,0.0,23.95,271.73,697.58,0.0,0.0,0.0,0.0,0.0,15.55,18.19,0.0,30.22,0.0,16.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,23.46,40.55,382.1,382.1,422.66,46.59,8.74,0.0,11.51,66.84,0.57,235.9,110.02,2.22,348.71,838.21,315.98,0.92,4.04,12.75,333.68,18.37,74.63,443.19,31.2,143.86,169.81,10.79,0.0,39.36,395.02,838.21,105.35,86.0,19.69,0.0,4.06,14.31,31.2,0.0,17.09,0.0,16.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,23.46,23.46,413.72,413.72,437.19,37.25,15.59,0.0,2.6,55.45,6.65,280.6,103.04,1.53,391.82,884.46,321.32,0.57,7.14,12.51,341.54,23.86,73.22,438.62,26.66,212.46,143.98,11.41,0.0,51.33,445.84,884.46,123.2,109.04,35.64,0.0,18.43,5.43,26.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,22.7,22.7,419.85,419.85,442.54,29.46,14.18,0.0,3.48,47.12,44.67,320.46,95.05,1.35,461.53,951.2,391.69,0.91,18.21,12.22,423.03,27.97,14.57,465.57,6.47,270.26,147.26,9.25,0.0,52.38,485.63,951.2,139.49,115.08,47.1,0.0,19.39,8.57,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,22.7,22.7,500.77,500.77,523.46,20.13,16.06,0.13,1.85,38.18,30.93,330.42,128.47,1.42,491.23,1052.88,407.74,1.22,12.55,11.99,433.5,12.89,16.46,462.86,25.05,265.69,224.59,36.44,0.0,38.26,590.02,1052.88,145.2,128.93,55.8,0.0,6.39,6.51,24.13,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,23.82,23.82,731.27,731.27,755.09,0.0,13.66,0.75,2.27,16.68,7.6,360.92,137.3,1.79,507.61,1279.37,428.12,2.66,24.29,11.75,466.83,75.72,23.03,565.58,110.47,332.47,189.73,14.02,0.0,67.12,713.79,1279.37,159.39,187.4,44.26,0.0,42.41,33.32,107.46,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,23.82,23.82,885.35,885.35,909.17,0.0,13.89,0.47,2.62,16.99,6.2,498.87,151.6,2.48,659.15,1585.31,467.99,2.49,24.41,11.52,506.41,146.11,39.6,692.13,211.91,417.42,169.09,32.41,0.66,61.7,893.19,1585.31,71.26,194.63,66.84,0.0,63.26,82.48,211.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,23.82,23.82,1195.98,1195.98,1219.8,0.0,9.63,0.22,3.15,13.0,3.88,687.67,227.24,3.8,922.59,2155.39,554.77,3.13,43.64,16.37,617.91,233.86,47.27,899.04,369.58,551.49,165.69,94.84,0.83,73.93,1256.35,2155.39,200.54,227.89,145.71,0.0,67.28,166.89,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
