Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Tax,27.0,25.4,26.9,20.9,19.27,19.35,22.86,21.34,23.27,21.1,22.58,17.9,20.2,22.85,23.62,25.97,21.27,14.24,24.39,5.71
P/L After Tax from Ordinary Activities,93.5,76.5,72.2,60.7,48.19,58.36,66.16,62.63,74.7,64.47,61.2,52.12,63.91,66.99,71.31,76.16,53.1,47.56,70.99,16.99
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,93.5,76.5,72.2,60.7,48.19,58.36,66.16,62.63,74.7,64.47,61.2,52.12,63.91,66.99,71.31,76.16,53.1,47.56,70.99,16.99
Equity Share Capital,80.0,80.03,80.03,80.03,80.03,80.03,80.03,80.03,80.03,80.03,80.03,80.03,80.03,80.03,80.03,77.59,77.59,77.59,77.59,77.59
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.34,1.91,1.8,7.58,6.02,7.29,8.27,7.83,9.33,8.06,7.65,6.51,7.99,8.37,8.91,9.81,6.84,6.13,9.15,2.19
Diluted EPS,2.34,1.91,1.8,7.58,6.02,7.29,8.27,7.83,9.33,8.06,7.65,6.51,7.99,8.37,8.91,9.81,6.97,--,9.43,2.26
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
