Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Other Income,227.1,216.8,302.6,227.3,210.2,218.1,146.4,135.2,72.0,154.1,119.7,155.4,139.4,166.2,108.8,240.8,45.7,73.2,40.9,64.9,72.4,65.6,140.3,143.4,69.3,38.6,118.2,102.9,152.6,92.5,137.1,139.7,54.1,61.4,--,--,--,234.9,--,--
"P/L Before Int., Excpt. Items & Tax",1517.4,1466.0,1703.7,1552.3,1484.2,1545.2,1521.6,1535.5,1443.1,1297.6,1531.9,1454.8,824.1,1402.3,693.0,757.3,640.7,680.3,593.0,548.6,549.6,503.1,511.9,514.4,479.7,481.1,535.3,467.9,399.7,350.3,366.5,362.2,310.2,303.2,284.3,289.2,303.9,260.7,263.4,222.1
Interest,65.8,67.1,67.6,70.2,63.4,56.5,43.8,43.4,41.6,36.4,36.4,29.7,18.0,30.2,16.2,16.4,17.6,17.9,17.6,18.5,19.4,18.5,17.3,16.8,1.0,0.6,0.9,1.8,3.7,3.0,3.6,--,1.4,1.1,0.3,0.4,1.4,0.3,1.6,2.5
P/L Before Exceptional Items & Tax,1451.6,1398.9,1636.1,1482.1,1420.8,1488.7,1477.8,1492.1,1401.5,1261.2,1495.5,1425.1,806.1,1372.1,676.8,740.9,623.1,662.4,575.4,530.1,530.2,484.6,494.6,497.6,478.7,480.5,534.4,466.1,396.0,347.3,362.9,362.2,308.8,302.1,284.0,288.8,302.5,260.4,261.8,219.6
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,1451.6,1398.9,1636.1,1482.1,1420.8,1488.7,1477.8,1492.1,1401.5,1261.2,1495.5,1425.1,806.1,1372.1,676.8,740.9,623.1,662.4,575.4,530.1,530.2,484.6,494.6,497.6,478.7,480.5,534.4,466.1,396.0,347.3,362.9,362.2,308.8,302.1,284.0,288.8,302.5,260.4,261.8,219.6
Tax,373.0,357.4,415.9,375.9,327.2,353.4,344.2,368.7,312.3,296.2,366.6,356.8,206.9,345.3,180.0,165.1,156.7,168.2,145.6,133.1,114.3,118.1,106.4,115.8,118.3,117.8,129.7,118.8,74.9,80.0,75.9,77.5,64.1,66.2,56.1,60.2,57.6,47.8,42.8,39.9
P/L After Tax from Ordinary Activities,1078.6,1041.5,1220.2,1106.2,1093.6,1135.3,1133.6,1123.4,1089.2,965.0,1128.9,1068.3,599.2,1026.8,496.8,575.8,466.4,494.2,429.8,397.0,415.9,366.5,388.2,381.8,360.4,362.7,404.7,347.3,321.1,267.3,287.0,284.7,244.7,235.9,227.9,228.6,244.9,212.6,219.0,179.7
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,1078.6,1041.5,1220.2,1106.2,1093.6,1135.3,1133.6,1123.4,1089.2,965.0,1128.9,1068.3,599.2,1026.8,496.8,575.8,466.4,494.2,429.8,397.0,415.9,366.5,388.2,381.8,360.4,362.7,404.7,347.3,321.1,267.3,287.0,284.7,244.7,235.9,227.9,228.6,244.9,212.6,219.0,179.7
Equity Share Capital,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,17.5,29.6,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.4,17.4,17.4,17.4,17.4,17.4,17.34,17.3,17.21,17.2,17.18,17.1,17.1,17.1,17.1,17.0,16.98,16.98,16.98,16.1,16.13
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,17501.3,15969.5,15225.1,14352.8,14576.6,8385.4,12835.1,7433.8,7461.0,6922.3,6382.2,6065.7,5723.9,5211.4,--,4971.2,5010.3,4696.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,36.41,35.17,41.21,37.37,36.95,38.36,38.32,37.97,36.83,32.62,38.18,36.14,34.19,34.75,28.36,32.95,26.7,28.31,24.64,22.8,23.9,21.05,22.32,22.0,20.78,20.94,23.4,20.19,18.68,15.58,16.78,16.69,14.35,13.85,13.42,13.46,14.94,12.52,13.58,11.15
Diluted EPS,36.36,35.11,41.13,37.3,36.85,38.26,38.23,37.9,36.75,32.58,38.18,36.08,34.13,34.75,28.28,32.95,26.55,28.14,24.47,22.63,23.69,20.87,22.12,21.77,20.54,20.9,22.86,19.81,18.32,15.27,16.42,16.3,14.04,13.54,13.11,13.43,14.44,--,12.94,10.73
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
