Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Mar '12,Dec '11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-64.85,-36.13,-45.61,-11.96,6.63,59.1,44.82,60.46,144.88,254.84,243.24,48.28,145.55,129.49,141.83,159.51,350.53,256.66,179.55,75.09,754.83,179.94,151.58,164.16,10.11,70.14,64.69,44.01,44.43,56.06,50.28,48.06,66.66,30.78,-22.51,27.98,29.14,15.85,19.65,16.49,12.68,7.42,7.77,10.19,7.11,5.36,2.99,3.58,--,-0.06
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,106.35,105.27,93.79,80.81,79.42,84.01,77.7,62.63,52.98,108.21,56.88,51.12,57.25,53.47,49.66,47.53,82.31,46.76,41.28,30.48,98.46,61.77,49.45,64.51,80.13,81.01,72.3,75.08,119.66,82.06,71.78,74.15,57.36,57.22,69.68,53.13,54.42,36.97,36.87,35.27,33.23,28.75,19.44,15.4,15.77,12.53,-7.05,18.65,10.99,18.2
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1890.4,1759.21,1723.85,1646.5,1631.0,1528.82,1565.12,1498.92,1353.39,1365.57,1302.96,1242.63,1153.64,1244.78,1317.16,1407.99,1321.93,1520.3,1729.41,1695.75,1023.46,1758.84,1913.63,1996.77,1971.77,1789.91,1533.92,1445.17,1359.25,1258.74,1155.39,1035.94,919.49,881.01,891.86,755.15,683.2,631.77,562.33,487.27,452.46,419.57,286.87,244.19,220.28,201.14,184.34,135.71,102.83,304.13
Other Income,15.32,2.13,1.53,9.48,5.02,3.42,1.67,0.13,1.0,0.18,-0.62,1.28,0.4,0.23,3.1,1.1,2.22,8.29,6.04,2.23,5.4,0.08,0.54,1.58,2.82,0.72,--,0.2,0.23,0.14,0.07,0.12,0.05,--,0.08,0.02,-0.63,0.63,--,--,--,--,--,8.69,7.65,8.06,--,10.15,1.26,7.4
"P/L Before Int., Excpt. Items & Tax",1905.72,1761.34,1725.38,1655.98,1636.02,1532.24,1566.79,1499.05,1354.39,1365.75,1302.34,1243.91,1154.04,1245.01,1320.26,1409.09,1324.15,1528.59,1735.45,1697.98,1028.86,1758.92,1914.17,1998.35,1974.59,1790.63,1533.92,1445.37,1359.48,1258.88,1155.46,1036.06,919.54,881.01,891.94,755.17,682.57,632.4,562.33,487.27,452.46,419.57,286.87,252.88,227.93,209.2,184.34,145.86,104.09,311.53
Interest,1178.28,1158.23,1118.79,1097.25,1069.99,1086.99,1057.62,1047.82,1008.33,996.64,964.13,930.48,930.96,997.5,1034.08,1103.09,1149.63,1246.35,1339.82,1363.65,1380.04,1461.14,1521.36,1512.76,1427.54,1410.28,1228.89,1099.75,1016.78,925.03,836.07,752.92,677.9,673.08,684.68,607.99,524.85,486.65,446.11,402.68,362.76,344.73,232.88,211.07,187.66,169.54,141.82,118.04,81.61,231.95
P/L Before Exceptional Items & Tax,727.44,603.11,606.59,558.73,566.03,445.25,509.17,451.23,346.06,369.11,338.21,313.43,223.08,247.51,286.18,306.0,174.52,282.24,395.63,334.33,-351.18,297.78,392.81,485.59,547.05,380.35,305.03,345.62,342.7,333.85,319.39,283.14,241.64,207.93,207.26,147.18,157.72,145.75,116.22,84.59,89.7,74.84,53.99,41.81,40.27,39.66,42.52,27.82,22.48,79.58
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,727.44,603.11,606.59,558.73,566.03,445.25,509.17,451.23,346.06,369.11,338.21,313.43,223.08,247.51,286.18,306.0,174.52,282.24,395.63,334.33,-351.18,297.78,392.81,485.59,547.05,380.35,305.03,345.62,342.7,333.85,319.39,283.14,241.64,207.93,207.26,147.18,157.72,145.75,116.22,84.59,89.7,74.84,53.99,41.81,40.27,39.66,42.52,27.82,22.48,79.58
Tax,160.33,131.68,134.89,120.02,122.23,98.71,124.77,98.55,63.15,96.86,75.3,75.23,53.12,63.82,52.87,71.04,44.54,58.97,83.27,74.72,-88.06,62.69,50.72,117.34,175.93,113.4,96.77,110.57,122.25,116.39,111.4,98.39,89.24,70.15,69.61,51.28,54.06,55.44,39.02,28.19,32.61,23.18,14.65,10.33,11.62,11.7,13.09,6.98,3.76,23.47
P/L After Tax from Ordinary Activities,567.11,471.43,471.7,438.71,443.8,346.54,384.4,352.68,282.91,272.25,262.91,238.2,169.96,183.69,233.31,234.96,129.98,223.27,312.36,259.61,-263.12,235.09,342.09,368.25,371.12,266.95,208.26,235.05,220.45,217.46,207.99,184.75,152.4,137.78,137.65,95.9,103.66,90.31,77.2,56.4,57.09,51.66,39.34,31.48,28.65,27.96,29.43,20.84,18.72,56.11
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,567.11,471.43,471.7,438.71,443.8,346.54,384.4,352.68,282.91,272.25,262.91,238.2,169.96,183.69,233.31,234.96,129.98,223.27,312.36,259.61,-263.12,235.09,342.09,368.25,371.12,266.95,208.26,235.05,220.45,217.46,207.99,184.75,152.4,137.78,137.65,95.9,103.66,90.31,77.2,56.4,57.09,51.66,39.34,31.48,28.65,27.96,29.43,20.84,18.72,56.11
Equity Share Capital,259.93,259.86,259.84,259.73,259.72,259.68,259.58,259.54,168.86,168.79,168.62,168.61,168.6,168.59,168.58,168.51,168.27,168.19,168.19,168.19,168.19,168.19,168.12,168.06,167.47,167.47,167.46,167.44,166.59,166.59,166.59,166.59,165.64,165.64,126.92,126.92,126.92,126.92,126.92,126.92,103.85,92.53,65.69,50.0,50.0,50.0,50.0,43.53,30.0,30.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2017.53,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,21.82,18.14,18.16,16.89,17.09,13.35,14.81,13.85,16.74,16.14,15.59,14.13,10.08,10.9,13.84,13.96,7.73,13.28,18.57,15.44,-15.64,13.98,20.35,21.94,22.16,15.94,12.44,14.06,13.23,13.05,12.49,11.12,9.2,9.18,10.85,7.56,--,7.12,6.08,--,--,--,--,--,5.73,--,--,--,6.24,--
Diluted EPS,21.74,18.07,18.1,16.84,17.04,13.31,14.79,13.84,16.72,16.13,15.57,14.11,10.06,10.87,13.81,13.95,7.72,13.28,18.57,15.44,-15.63,13.95,20.29,21.86,22.03,15.83,12.35,13.96,13.08,12.89,12.33,10.99,9.08,9.04,10.64,7.49,--,7.12,6.08,--,--,--,--,--,5.73,--,--,--,6.24,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
