Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Net Profit/(Loss) For the Period,42.11,66.3,12.88,25.76,207.62,202.0,198.14,191.2,190.04,170.13,116.42,97.01,119.51,108.11,41.19,11.93,112.87,110.7,102.99,57.67,43.02,94.08,49.48,57.06
Equity Share Capital,1139.86,1139.32,1138.5,1136.07,1134.89,1131.45,1121.73,1113.23,1110.56,1254.31,1253.67,1253.23,1252.03,1147.89,1145.19,1142.45,1139.28,1138.25,1053.4,1053.4,1053.4,1053.4,1005.94,1005.94
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
c) Capital Adequacy Ratio - Basel -II,20.6,20.29,19.36,20.55,21.7,20.24,21.33,22.06,23.8,24.28,23.08,24.62,25.16,21.91,22.21,24.07,24.18,21.58,20.93,22.02,23.61,23.69,21.58,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.37,0.58,0.11,0.23,1.83,1.79,1.77,1.72,1.71,1.36,0.93,0.77,1.0,0.94,0.36,0.1,0.99,0.99,0.98,0.55,0.41,0.93,0.49,0.57
Diluted EPS,0.37,0.58,0.11,0.22,1.81,1.77,1.74,1.69,1.69,1.34,0.92,0.77,0.99,0.93,0.36,0.1,0.99,0.99,0.98,0.55,0.41,0.93,0.49,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,1067.73,1071.87,1022.82,889.04,821.28,750.26,660.5,770.18,723.96,861.36,870.26,856.0,837.18,863.82,880.83,816.17,642.78,387.6,399.65,416.67,417.32,417.96,377.22,--
ii) Net NPA,354.2,340.05,330.29,264.13,360.9,330.34,279.29,325.1,312.02,423.44,430.88,441.22,479.48,459.42,439.64,398.22,266.17,130.86,198.92,232.37,228.61,255.4,230.87,--
i) % of Gross NPA,2.89,2.97,2.95,2.73,2.61,2.53,2.27,2.75,2.76,3.63,3.91,4.1,4.24,4.61,4.82,4.76,3.73,2.27,2.48,2.86,3.0,3.01,2.88,--
ii) % of Net NPA,0.98,0.96,0.97,0.83,1.17,1.13,0.97,1.18,1.21,1.82,1.97,2.15,2.47,2.51,2.46,2.38,1.58,0.67,1.03,1.48,1.67,1.73,1.63,--
Return on Assets %,0.08,0.13,0.03,0.06,0.47,0.48,0.49,0.51,0.56,0.53,0.38,0.33,0.43,0.41,0.16,0.05,0.44,0.44,0.47,0.28,0.22,0.52,0.29,--
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
