Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,22.22,22.22,14.61,0.0,-0.86,0.72,2.43,1.39,1.39,2.56,0.21,2.77,1.33,1.44,-0.1,1.34,0.23,1.11,1.11,14.43,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2017-09-30,40.3,40.3,29.2,0.0,-0.21,0.81,2.86,1.54,2.77,3.32,0.17,3.5,1.56,1.93,0.1,2.03,0.63,1.4,1.4,14.43,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2017-12-31,51.26,51.26,39.51,0.0,-2.72,0.77,4.57,1.47,6.0,1.65,0.88,2.53,1.46,1.08,0.0,1.08,0.42,0.66,0.66,20.07,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2018-03-31,47.71,47.71,28.58,0.0,2.74,0.76,5.87,-1.17,7.78,3.15,6.08,9.22,1.78,7.44,0.0,7.44,1.72,5.72,5.72,20.07,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2018-06-30,33.29,33.29,52.13,0.0,-28.23,1.02,5.61,1.46,4.05,-2.75,0.44,-2.31,3.07,-5.38,0.0,-5.38,-1.44,-3.94,-3.94,20.07,-0.78,-0.74,0.0,0.0,0.0,0.0,0.0
2018-09-30,70.74,70.74,72.13,0.0,-14.69,0.85,7.07,1.39,6.78,-2.81,0.3,-2.51,5.31,-7.82,0.0,-7.82,-1.41,-6.41,-6.41,20.07,-1.28,-1.2,0.0,0.0,0.0,0.0,0.0
2018-12-31,89.46,89.46,73.19,0.0,3.03,1.04,8.63,1.69,10.51,-8.63,6.8,-1.82,3.53,-5.35,0.0,-5.35,-1.36,-3.99,-3.99,30.67,-0.54,-0.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,96.82,96.82,26.11,0.0,53.25,1.52,9.6,1.68,10.48,-5.82,7.59,1.77,3.02,-1.26,0.0,-1.26,-2.01,0.76,0.76,31.75,0.1,0.09,0.0,0.0,0.0,0.0,0.0
2019-06-30,112.87,112.87,94.72,0.0,-7.02,1.32,10.26,2.2,6.24,5.14,9.99,15.12,3.87,11.26,0.0,11.26,2.88,8.37,8.37,32.83,1.02,1.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,110.56,110.56,86.25,0.0,1.84,1.03,11.13,2.37,7.79,0.15,7.49,7.64,3.57,4.07,0.0,4.07,1.04,3.03,3.03,32.83,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2019-12-31,105.49,105.49,56.94,0.0,13.82,1.02,10.65,2.48,18.8,1.78,7.8,9.59,3.59,5.99,0.0,5.99,1.17,4.82,4.82,32.83,0.59,0.58,0.0,0.0,0.0,0.0,0.0
2020-03-31,66.61,66.61,62.04,0.0,-20.87,0.0,10.65,1.78,19.82,-6.81,1.11,-5.7,2.77,-8.47,0.5,-7.97,-2.36,-5.61,-5.61,32.83,-0.68,-0.71,0.0,0.0,0.0,0.0,0.0
2020-06-30,22.14,22.14,12.28,0.0,3.53,0.53,8.05,1.91,3.11,-7.28,3.82,-3.46,1.84,-5.31,0.0,-5.31,-1.68,-3.62,-3.62,32.83,-0.44,-0.44,0.0,0.0,0.0,0.0,0.0
2020-09-30,50.19,50.19,26.74,0.0,1.07,1.01,7.04,1.9,9.95,2.48,3.04,5.52,2.1,3.42,0.0,3.42,1.16,2.26,2.26,32.83,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2020-12-31,60.13,60.13,56.34,0.0,-21.84,0.0,6.18,1.66,12.83,4.96,2.63,7.59,1.87,5.73,0.0,5.73,1.16,4.57,4.57,32.83,0.56,0.56,0.0,0.0,0.0,0.0,0.0
2021-03-31,144.75,144.75,61.31,0.0,39.56,1.04,6.89,3.42,20.72,11.82,1.95,13.76,1.61,12.15,0.0,12.15,3.15,9.0,9.0,32.83,1.1,1.1,0.0,0.0,0.0,0.0,0.0
2021-06-30,41.15,41.15,35.53,0.0,-15.2,0.0,6.77,6.04,5.34,2.67,1.68,4.35,1.6,2.75,0.0,2.75,0.71,2.03,2.03,32.83,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2021-09-30,69.06,69.06,17.74,0.0,22.27,0.0,6.36,6.02,8.55,8.12,1.42,9.54,1.3,8.24,-2.55,5.69,1.98,3.71,3.71,32.83,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2021-12-31,207.13,207.13,161.64,0.0,-10.3,0.0,8.61,6.33,20.15,20.69,1.56,22.25,2.14,20.11,0.0,20.11,7.62,12.49,12.49,32.83,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2022-03-31,268.1,268.1,200.34,0.0,11.1,0.0,9.04,6.47,16.61,24.52,3.22,27.74,4.22,23.52,0.0,23.52,6.05,17.47,17.47,32.83,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2022-06-30,304.67,304.67,239.19,0.0,1.46,1.21,10.92,6.49,15.08,30.32,2.8,33.12,8.41,24.71,0.0,24.71,5.9,18.81,18.81,32.83,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2022-09-30,212.7,212.7,199.06,0.0,-35.85,1.09,12.6,6.6,13.87,15.34,6.33,21.66,6.98,14.68,0.0,14.68,3.57,11.11,11.11,32.83,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2022-12-31,248.64,248.64,184.68,0.0,4.22,1.03,12.6,6.58,15.66,23.88,1.48,25.36,8.06,17.3,0.0,17.3,4.32,12.98,12.98,32.83,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2023-03-31,368.4,368.4,281.8,0.0,3.12,1.42,14.0,6.68,20.08,41.31,0.83,42.14,7.72,34.42,0.0,34.42,6.61,27.81,27.81,32.83,3.39,3.39,0.0,0.0,0.0,0.0,0.0
2023-06-30,206.02,206.02,153.01,0.0,-8.87,0.0,14.15,6.64,10.62,30.46,1.5,31.97,7.13,24.84,0.0,24.84,6.14,18.7,18.7,32.83,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2023-09-30,297.87,297.87,213.58,0.0,9.87,1.07,15.71,6.77,16.86,34.02,3.4,37.42,9.35,28.07,0.0,28.07,7.08,20.99,20.99,32.83,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2023-12-31,331.95,331.95,276.87,0.0,-28.69,2.98,17.33,6.85,16.32,40.28,2.71,43.0,13.07,29.92,0.0,29.92,7.64,22.28,22.28,32.83,2.71,2.71,0.0,0.0,0.0,0.0,0.0
2024-03-31,278.13,278.13,204.88,0.0,-2.87,0.0,18.5,6.82,26.86,23.95,4.61,28.56,12.68,15.88,0.0,15.88,4.2,11.68,11.68,32.83,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2024-06-30,304.18,304.18,223.67,0.0,5.77,0.0,17.53,6.86,16.7,33.66,3.13,36.79,8.7,28.09,0.0,28.09,7.35,20.74,20.74,32.83,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2024-09-30,514.07,514.07,410.36,0.0,-24.77,3.75,23.79,7.1,20.5,73.35,2.79,76.14,11.18,64.97,0.0,64.97,16.77,48.2,48.2,32.83,5.87,5.87,0.0,0.0,0.0,0.0,0.0
2024-12-31,506.83,506.83,365.12,0.0,21.24,3.72,22.05,7.14,17.7,69.86,1.74,71.59,10.72,60.87,0.0,60.87,14.57,46.31,46.31,32.83,5.64,5.64,0.0,0.0,0.0,0.0,0.0
