Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,15.36,15.36,0.97,26.52,2.08,49.33,-63.54,0.99,-62.55,0.02,-62.57,0.0,-62.57,0.0,-62.57,-62.57,24.69,-2.53,-2.53,0.0,0.0,0.0,0.0,0.0
2017-12-31,19.42,19.42,5.24,24.68,2.02,47.67,-60.19,2.14,-58.05,0.02,-58.07,0.0,-58.07,0.0,-58.07,-58.07,25.09,-2.34,-2.34,0.0,0.0,0.0,0.0,0.0
2018-03-31,20.09,20.09,5.15,24.3,2.02,35.63,-47.01,0.52,-46.49,0.01,-46.5,48.98,2.48,0.0,2.48,2.48,25.09,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2018-06-30,16.81,16.81,2.88,20.43,1.9,57.29,-65.69,1.23,-64.46,0.02,-64.48,0.0,-64.48,0.0,-64.48,-64.48,25.09,-2.57,-2.57,0.0,0.0,0.0,0.0,0.0
2018-09-30,61.35,61.35,2.05,19.94,1.94,44.56,-7.14,4.57,-2.57,0.01,-2.58,0.0,-2.58,0.0,-2.58,-2.58,25.6,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
2018-12-31,19.88,19.88,4.61,21.36,1.9,64.29,-72.28,3.28,-69.0,0.02,-69.02,0.0,-69.02,0.0,-69.02,-69.02,25.6,-2.72,-2.72,0.0,0.0,0.0,0.0,0.0
2019-03-31,84.83,84.83,2.99,19.33,1.82,74.43,-13.74,4.43,-9.31,0.04,-9.35,0.0,-9.35,0.0,-9.35,-9.35,26.21,-0.37,-0.37,0.0,0.0,0.0,0.0,0.0
2019-06-30,17.32,17.32,10.14,22.67,2.25,79.53,-97.27,3.67,-93.6,0.59,-94.19,0.0,-94.19,0.0,-94.19,-94.19,26.21,-3.59,-3.59,0.0,0.0,0.0,0.0,0.0
2019-09-30,17.19,17.19,4.39,23.28,2.25,52.44,-65.17,2.26,-62.91,0.25,-63.16,0.0,-63.16,0.0,-63.16,-63.16,26.21,-2.41,-2.41,0.0,0.0,0.0,0.0,0.0
2019-12-31,19.6,19.6,4.91,22.76,2.25,45.64,-55.96,0.71,-55.25,0.26,-55.51,0.0,-55.51,0.0,-55.51,-55.51,26.21,-2.12,-2.12,0.0,0.0,0.0,0.0,0.0
2020-03-31,22.71,22.71,4.49,24.38,2.73,92.2,-101.09,3.12,-97.97,1.57,-99.54,0.0,-99.54,0.0,-99.54,-99.54,26.21,-3.8,-3.8,0.0,0.0,0.0,0.0,0.0
2020-06-30,185.45,185.45,6.24,24.0,2.78,94.43,58.0,0.66,58.66,1.97,56.69,0.0,56.69,0.0,56.69,56.69,26.21,2.16,2.16,0.0,0.0,0.0,0.0,0.0
2020-09-30,17.64,17.64,4.17,22.83,2.78,73.01,-85.15,2.82,-82.33,1.16,-83.49,0.0,-83.49,0.0,-83.49,-83.49,26.21,-3.19,-3.19,0.0,0.0,0.0,0.0,0.0
2020-12-31,21.81,21.81,5.59,22.65,2.76,56.53,-65.72,1.6,-64.12,3.5,-67.62,0.0,-67.62,0.0,-67.62,-67.62,26.21,-2.58,-2.58,0.0,0.0,0.0,0.0,0.0
2021-03-31,28.06,28.06,2.18,22.1,2.6,54.21,-53.03,0.33,-52.7,4.02,-56.72,0.0,-56.72,0.0,-56.72,-56.72,26.21,-2.16,-2.16,0.0,0.0,0.0,0.0,0.0
2021-06-30,21.99,21.99,2.87,25.52,2.53,47.87,-56.8,0.8,-56.0,5.37,-61.37,0.0,-61.37,0.0,-61.37,-61.37,26.21,-2.34,-2.34,0.0,0.0,0.0,0.0,0.0
2021-09-30,27.87,27.87,5.35,23.94,2.54,53.75,-57.71,5.98,-51.73,3.41,-55.14,0.0,-55.14,0.0,-55.14,-55.14,26.35,-2.09,-2.09,0.0,0.0,0.0,0.0,0.0
2021-12-31,62.15,62.15,3.67,24.24,2.58,45.51,-13.85,0.34,-13.51,2.33,-15.84,0.0,-15.84,0.0,-15.84,-15.84,26.35,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2022-03-31,25.24,25.24,6.38,23.08,2.51,62.32,-69.05,0.22,-68.83,2.22,-71.05,0.0,-71.05,0.0,-71.05,-71.05,27.19,-2.69,-2.69,0.0,0.0,0.0,0.0,0.0
2022-06-30,28.46,28.46,5.7,25.05,2.7,75.91,-80.9,0.18,-80.72,1.63,-82.35,0.0,-82.35,0.0,-82.35,-82.35,27.19,-3.03,-3.03,0.0,0.0,0.0,0.0,0.0
2022-09-30,31.54,31.54,5.58,25.32,3.0,63.24,-65.6,0.06,-65.54,2.86,-68.4,0.0,-68.4,0.0,-68.4,-68.4,27.19,-2.52,-2.52,0.0,0.0,0.0,0.0,0.0
2022-12-31,131.09,131.09,5.05,25.66,3.13,84.2,13.05,0.03,13.08,2.93,10.15,0.0,10.15,0.0,10.15,10.15,27.53,0.37,0.35,0.0,0.0,0.0,0.0,0.0
2023-03-31,47.69,47.69,5.78,29.9,2.94,101.58,-92.51,10.73,-81.78,0.21,-81.99,0.0,-81.99,0.0,-81.99,-81.99,32.45,-2.55,-2.55,0.0,0.0,0.0,0.0,0.0
2023-06-30,23.95,23.95,5.17,31.12,3.1,89.84,-105.28,10.19,-95.09,0.26,-95.35,0.0,-95.35,0.0,-95.35,-95.35,32.45,-2.94,-2.94,0.0,0.0,0.0,0.0,0.0
2023-09-30,21.18,21.18,6.47,30.71,3.18,75.47,-94.65,8.49,-86.16,0.26,-86.42,0.0,-86.42,0.0,-86.42,-86.42,32.45,-2.66,-2.66,0.0,0.0,0.0,0.0,0.0
2023-12-31,13.86,13.86,9.03,29.98,3.16,77.47,-105.78,6.39,-99.39,0.26,-99.65,0.0,-99.65,0.0,-99.65,-99.65,32.45,-3.07,-3.07,0.0,0.0,0.0,0.0,0.0
2024-03-31,16.56,16.56,7.46,26.72,2.69,89.9,-110.21,4.4,-105.81,0.88,-106.69,0.0,-106.69,0.0,-106.69,-106.69,32.45,-3.29,-3.29,0.0,0.0,0.0,0.0,0.0
2024-06-30,16.81,16.81,4.53,28.94,2.76,78.46,-97.88,1.56,-96.32,0.52,-96.84,0.0,-96.84,0.0,-96.84,-96.84,32.45,-2.98,-2.98,0.0,0.0,0.0,0.0,0.0
2024-09-30,12.86,12.86,8.31,28.78,2.77,79.62,-106.62,0.04,-106.58,1.11,-107.69,0.0,-107.69,0.0,-107.69,-107.69,32.45,-3.32,-3.32,0.0,0.0,0.0,0.0,0.0
2024-12-31,14.91,14.91,4.58,26.41,2.75,58.3,-77.13,0.19,-76.94,2.77,-79.71,0.0,-79.71,0.0,-79.71,-79.71,32.45,-2.46,-2.46,0.0,0.0,0.0,0.0,0.0
2025-03-31,27.19,27.19,5.7,24.83,2.55,50.58,-56.47,0.0,-56.47,4.51,-60.98,0.0,-60.98,0.0,-60.98,-60.98,32.45,-1.88,-1.88,0.0,0.0,0.0,0.0,0.0
