Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,132.99,132.99,0.0,0.0,17.74,0.74,102.14,12.37,12.43,24.8,2.58,22.22,0.0,22.22,7.0,15.22,15.22,51.33,2.96,2.96,0.0,0.0,0.0,0.0,0.0
2018-09-30,71.58,71.58,0.0,0.0,15.14,0.75,55.4,0.29,33.36,33.65,2.35,31.3,0.0,31.3,9.21,22.09,22.09,51.35,4.3,4.29,0.0,0.0,0.0,0.0,0.0
2018-12-31,121.39,121.39,0.0,0.0,17.94,0.78,94.86,7.81,13.02,20.83,0.44,20.39,0.0,20.39,4.98,15.41,15.41,51.35,3.01,3.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,160.07,160.07,0.0,0.0,15.52,0.79,142.98,0.78,10.0,10.78,0.11,10.67,0.0,10.67,4.8,5.87,5.87,51.35,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2019-06-30,83.57,83.57,0.0,0.0,19.32,1.85,67.27,-4.87,15.52,10.65,0.36,10.29,0.0,10.29,0.61,9.68,9.68,51.35,1.89,1.88,0.0,0.0,0.0,0.0,0.0
2019-09-30,271.49,271.49,0.0,0.0,21.17,1.8,239.72,8.8,21.48,30.28,0.48,29.8,0.0,29.8,-0.02,29.82,29.82,51.36,5.81,5.79,0.0,0.0,0.0,0.0,0.0
2019-12-31,33.81,33.81,0.0,0.0,17.86,1.83,43.26,-29.14,16.57,-12.57,0.23,-12.8,0.0,-12.8,-0.57,-12.23,-12.23,51.36,-2.38,-2.38,0.0,0.0,0.0,0.0,0.0
2020-03-31,51.01,51.01,0.0,0.0,13.27,1.78,82.24,-46.28,27.24,-19.04,0.77,-19.81,-237.31,-257.12,-3.84,-253.28,-253.28,51.36,-49.32,-49.2,0.0,0.0,0.0,0.0,0.0
2020-06-30,3.8,3.8,0.0,0.0,17.28,1.75,6.35,-21.58,7.38,-14.2,1.91,-16.11,0.0,-16.11,-4.03,-12.08,-12.08,51.37,-2.35,-2.35,0.0,0.0,0.0,0.0,0.0
2020-09-30,8.82,8.82,0.0,0.0,13.62,1.68,14.86,-21.34,31.32,9.98,0.76,9.22,0.0,9.22,2.47,6.75,6.75,51.37,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2020-12-31,35.51,35.51,0.0,0.0,16.92,1.62,47.97,-31.0,6.64,-24.36,0.89,-25.25,0.0,-25.25,-6.77,-18.48,-18.48,51.38,-3.6,-3.58,0.0,0.0,0.0,0.0,0.0
2021-03-31,41.51,41.51,0.0,0.0,17.49,1.6,61.25,-38.83,1.41,-37.42,0.11,-37.53,0.0,-37.53,-9.09,-28.44,-28.44,51.38,-5.53,-5.56,0.0,0.0,0.0,0.0,0.0
2021-06-30,140.29,140.29,0.0,0.0,20.22,1.42,144.65,-26.0,5.46,-20.54,0.61,-21.15,0.0,-21.15,-5.73,-15.42,-15.42,51.39,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,6.5,6.5,0.0,0.0,20.64,1.31,14.57,-30.02,26.43,-3.59,1.61,-5.2,0.0,-5.2,-0.9,-4.3,-4.3,154.18,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2021-12-31,4.01,4.01,0.0,0.0,17.28,1.3,23.14,-37.71,7.47,-30.24,1.28,-31.52,0.0,-31.52,-7.82,-23.7,-23.7,154.49,-1.54,-1.54,0.0,0.0,0.0,0.0,0.0
2022-03-31,102.01,102.01,0.0,0.0,14.41,2.15,122.29,-36.84,14.33,-22.51,1.24,-23.75,104.12,80.37,-5.94,86.31,86.31,154.52,5.59,5.58,0.0,0.0,0.0,0.0,0.0
2022-06-30,10.65,10.65,0.0,0.0,18.53,2.33,24.51,-34.72,61.52,26.8,0.94,25.86,57.64,83.5,6.87,76.63,76.63,154.53,4.96,4.93,0.0,0.0,0.0,0.0,0.0
2022-09-30,36.95,36.95,0.0,0.0,17.89,2.56,56.44,-39.94,14.77,-25.17,2.06,-27.23,0.0,-27.23,-7.24,-19.99,-19.99,154.58,-1.29,-1.29,0.0,0.0,0.0,0.0,0.0
2022-12-31,174.52,174.52,0.0,0.0,16.12,2.63,174.19,-18.42,10.98,-7.44,2.54,-9.98,66.73,56.75,-3.18,59.93,59.93,154.61,3.88,3.86,0.0,0.0,0.0,0.0,0.0
2023-03-31,249.79,249.79,0.0,0.0,16.68,2.14,259.4,-28.43,68.94,40.51,2.97,37.54,0.0,37.54,2.86,34.68,34.68,154.67,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2023-06-30,6.65,6.65,127.9,-115.4,19.52,2.31,19.24,-46.92,12.8,-34.12,3.85,-37.97,22.91,-15.06,-9.57,-5.49,-5.49,154.93,-0.35,-0.35,0.0,0.0,0.0,0.0,0.0
2023-09-30,7.43,7.43,129.79,-123.86,18.77,2.71,20.08,-40.06,42.35,2.29,0.24,2.05,0.0,2.05,0.53,1.52,1.52,154.97,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2023-12-31,2.06,2.06,324.22,-323.94,21.67,3.75,22.67,-46.31,8.09,-38.22,0.31,-38.53,0.0,-38.53,-9.7,-28.83,-28.83,154.97,-1.86,-1.86,0.0,0.0,0.0,0.0,0.0
2024-03-31,2.55,2.55,803.66,-797.58,15.96,3.77,34.19,-57.45,41.5,-15.95,2.62,-18.57,0.0,-18.57,-12.55,-6.02,-6.02,155.01,-0.39,-0.39,0.0,0.0,0.0,0.0,0.0
2024-06-30,181.87,181.87,108.76,59.57,25.89,4.29,30.46,-47.1,19.66,-27.44,6.02,-33.46,0.0,-33.46,-9.71,-23.75,-23.75,155.04,-1.53,-1.53,0.0,0.0,0.0,0.0,0.0
2024-09-30,2.06,2.06,210.4,-207.92,27.41,3.94,23.34,-55.11,61.41,6.3,7.01,-0.71,0.0,-0.71,-0.12,-0.59,-0.59,155.06,-0.04,-0.04,0.0,0.0,0.0,0.0,0.0
2024-12-31,161.7,161.7,305.83,-176.27,25.96,3.91,33.4,-31.13,101.58,70.45,4.23,66.22,0.0,66.22,18.49,47.73,47.73,155.09,3.08,3.08,0.0,0.0,0.0,0.0,0.0
2025-03-31,3.69,3.69,269.44,-270.78,24.24,5.45,35.96,-60.62,100.62,40.0,10.58,29.42,0.0,29.42,1.46,27.96,27.96,155.09,1.8,1.8,0.0,0.0,0.0,0.0,0.0
