Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency
2015-03-31,9.08,9.64,320.72,320.72,330.36,72.46,12.0,0.84,1.42,86.71,129.92,33.12,115.12,10.96,289.12,706.76,108.83,1.46,0.0,110.29,158.19,0.0,81.61,0.2,350.29,95.3,133.52,79.68,6.09,26.89,15.0,356.47,706.76,0.0,156.86,4.96,0.08,158.13,103.28,0.0,0.57,48.57,1.77,6.57,16.87
2016-03-31,9.08,9.37,239.78,239.78,249.15,77.68,11.2,1.17,3.66,93.72,109.99,35.22,126.02,9.72,280.95,623.81,101.96,1.26,0.68,103.9,180.71,0.0,98.11,0.19,382.91,0.0,108.96,59.32,14.18,29.48,28.97,240.9,623.81,0.0,173.5,0.0,117.06,80.36,0.0,0.0,0.29,31.85,0.58,1.32,16.52
2017-03-31,9.08,9.08,207.54,207.54,216.62,109.2,10.23,1.54,4.1,125.06,133.56,33.81,146.32,9.55,323.24,664.93,98.4,1.5,0.0,99.9,203.65,0.0,4.06,0.23,307.85,90.3,148.36,83.77,4.1,29.89,0.65,357.07,664.93,0.0,108.4,0.49,12.2,193.6,114.45,0.0,0.0,42.9,0.07,1.15,17.21
2018-03-31,9.08,9.08,256.97,256.97,266.05,87.6,7.81,1.14,5.34,101.88,134.47,43.2,209.22,12.58,399.47,767.4,93.26,1.15,1.08,95.49,298.44,0.0,9.81,2.14,405.89,6.91,173.0,125.48,21.66,0.0,34.47,361.51,767.4,0.0,0.0,0.0,83.7,221.66,6.91,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,9.08,9.08,232.42,232.42,241.5,59.2,0.0,1.76,5.66,66.62,196.8,23.28,202.54,16.77,439.39,747.5,91.86,1.0,0.3,93.16,119.4,50.17,9.32,2.89,274.93,0.0,217.89,148.55,62.03,0.0,44.09,472.56,747.5,158.75,0.0,0.0,80.92,38.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,9.08,9.08,302.8,302.8,311.88,6.0,0.0,6.13,8.55,20.68,85.72,14.94,203.45,17.56,321.67,654.24,103.55,0.95,0.41,104.92,44.54,2.88,2.84,2.3,157.48,80.03,159.74,142.67,57.62,0.0,56.7,496.76,654.24,220.35,0.0,0.0,0.13,44.41,80.03,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,9.08,9.08,398.75,398.75,407.82,0.0,5.06,3.73,9.04,17.83,60.37,18.04,198.41,22.02,298.83,724.49,97.98,0.65,2.39,101.01,44.54,0.0,51.73,2.47,199.75,24.93,145.71,115.59,202.21,0.0,36.28,524.74,724.49,158.07,0.0,0.0,0.13,44.41,24.93,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,18.15,18.15,515.61,515.61,533.77,0.0,7.26,7.29,5.39,19.93,43.38,39.77,257.86,25.49,366.5,920.2,129.45,0.55,1.86,131.87,44.66,0.0,2.08,7.86,186.47,311.48,318.13,77.53,8.04,0.0,18.55,733.73,920.2,144.64,0.0,0.0,0.24,44.41,311.48,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,18.15,18.15,567.27,567.27,585.43,0.0,7.91,6.99,4.52,19.42,0.0,61.51,453.66,33.31,548.49,1153.33,159.95,0.87,0.22,161.04,44.62,0.0,2.26,9.98,217.9,248.72,407.28,129.85,54.78,0.0,94.8,935.43,1153.33,292.28,0.0,0.0,0.21,44.41,0.0,248.72,0.0,0.0,0.0,0.0,0.0
2024-03-31,18.15,18.15,657.75,657.75,675.9,0.0,7.81,14.85,5.81,28.48,4.87,79.42,388.66,42.19,515.15,1219.52,240.36,10.83,4.76,255.95,44.6,0.0,2.83,7.63,311.01,246.51,428.7,158.9,7.36,0.93,66.11,908.51,1219.52,241.83,0.0,0.0,0.0,44.41,0.0,246.51,0.0,0.0,0.0,0.0,0.0
