Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Liabilities [Net]
2015-06-30,32.59,32.59,709.75,709.75,0.0,742.34,0.02,2.93,2.95,268.01,62.87,133.76,464.64,1209.93,156.17,63.14,219.31,7.88,145.29,0.0,372.48,201.57,116.76,181.25,250.65,87.22,837.45,1209.93,525.23,35.24,20.4,38.96,64.69,186.28,12.89,31.66,0.0
2016-06-30,32.59,32.59,825.2,825.2,0.0,857.79,0.01,3.54,3.55,321.08,95.55,146.1,562.73,1424.07,185.75,88.21,273.96,14.58,162.34,0.0,450.88,244.55,109.76,537.2,50.0,31.68,973.19,1424.07,849.35,42.98,21.41,54.76,3.73,243.96,6.87,54.12,0.0
2017-06-30,32.59,32.59,468.02,468.02,0.0,500.61,0.0,33.81,33.81,322.73,139.6,1.71,464.04,998.46,214.09,63.34,277.43,19.01,25.75,177.81,500.0,222.38,130.27,115.65,4.14,26.02,498.46,998.46,780.28,406.16,0.0,0.0,152.64,0.0,0.0,0.0,0.0
2018-06-30,32.59,32.59,661.59,661.59,0.0,694.18,0.0,35.47,35.47,329.3,149.83,0.22,479.35,1209.0,264.41,40.37,304.78,16.4,21.14,192.5,534.82,200.15,176.04,236.63,5.0,56.36,674.18,1209.0,848.38,507.86,0.0,0.0,278.23,0.0,0.0,0.0,0.0
2019-06-30,32.59,32.59,740.76,740.76,5.01,778.36,0.0,79.1,79.1,281.19,71.09,0.22,352.5,1209.96,300.18,24.55,324.73,32.17,26.19,229.62,612.71,234.01,181.5,141.72,5.53,34.49,597.25,1209.96,850.43,521.09,0.0,0.0,143.73,0.0,0.0,0.0,0.0
2020-06-30,32.59,32.59,871.69,871.69,7.0,911.28,0.14,61.41,61.55,287.35,63.4,28.24,378.99,1351.82,296.46,21.19,317.65,23.04,30.73,215.63,587.05,284.27,190.67,232.48,4.09,53.26,764.77,1351.82,847.57,469.18,0.0,0.0,140.56,0.0,0.0,0.0,0.0
2021-06-30,32.59,32.59,747.36,747.36,9.06,789.01,0.11,79.11,79.22,408.39,83.53,35.09,527.01,1395.24,309.77,72.04,381.81,27.87,27.56,188.83,626.07,366.58,197.94,166.32,4.47,33.86,769.17,1395.24,945.79,572.84,0.0,0.0,119.8,0.0,0.0,0.0,0.0
2022-06-30,32.59,32.59,815.69,815.69,12.92,861.2,0.07,83.27,83.34,544.63,80.55,38.58,663.76,1608.3,363.04,64.95,427.99,33.06,19.04,175.91,656.0,373.44,256.38,291.07,3.44,27.97,952.3,1608.3,1138.24,587.6,0.0,0.0,175.32,0.0,0.0,0.0,0.0
2023-06-30,32.59,32.59,937.29,937.29,18.98,988.86,0.05,111.42,111.47,680.13,92.63,43.06,815.82,1916.15,389.47,32.43,421.9,45.81,19.05,179.52,666.28,412.35,320.16,455.56,2.74,59.06,1249.87,1916.15,1206.24,723.93,0.0,0.0,204.21,0.0,0.0,0.0,0.0
2024-06-30,32.59,32.59,916.14,916.14,22.54,971.27,0.05,100.39,100.44,639.04,65.65,54.35,759.04,1830.75,346.92,25.93,372.85,53.47,18.17,199.65,644.14,395.84,274.33,475.63,2.47,38.34,1186.61,1830.75,1415.25,618.72,0.0,0.0,206.25,0.0,0.0,0.0,0.0
