Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,14211.4,15116.1,13602.9,12753.1,12136.44,12676.55,11292.26,10326.46,10167.87,10577.06,11368.89,11237.17,7094.03,6691.24,4678.74,3668.48,4908.77,3317.28,1205.52,1378.94,4472.3,3710.3,3838.33,2669.91,3598.49,3413.55,3349.03,3121.43,2644.97,2526.13,2274.3,2278.68,2032.9,2130.63,1877.58,1882.85,1736.34,1645.64,1586.59,1482.96,7151.56,1286.79
"P/L Before Other Inc. , Int., Excpt. Items & Tax",3605.2,2944.6,-459.8,3279.6,2188.71,3483.93,650.87,3563.52,1395.88,1771.75,-1211.87,-572.18,-1233.59,544.42,-1061.46,-2786.93,-770.0,-317.69,-920.06,-2716.4,-1141.54,632.22,-1048.62,1622.48,372.84,15.42,-1186.94,-166.34,1.21,884.13,635.62,998.68,402.83,506.06,76.75,700.4,680.81,857.15,109.03,855.41,773.47,702.07
Other Income,953.1,883.5,790.5,679.7,680.06,609.78,558.27,477.47,438.37,475.73,353.97,163.36,186.43,185.11,189.86,163.15,139.19,232.58,287.82,376.75,335.86,398.65,434.73,367.01,376.54,313.15,328.89,306.36,257.73,271.91,214.58,202.64,293.77,171.93,160.76,162.61,156.91,109.74,89.1,105.65,116.99,81.44
"P/L Before Int., Excpt. Items & Tax",4558.3,3828.1,330.7,3959.3,2868.77,4093.71,1209.13,4040.99,1834.25,2247.48,-857.9,-408.82,-1047.16,729.52,-871.6,-2623.78,-630.81,-85.11,-632.25,-2339.65,-805.68,1030.87,-613.89,1989.49,749.38,328.57,-858.05,140.02,258.94,1156.04,850.21,1201.31,696.6,677.99,237.52,863.01,837.72,966.89,198.13,961.06,890.46,783.51
Interest,1383.1,1308.1,1240.1,1157.6,1099.13,1095.21,1021.27,953.74,918.23,829.31,727.59,656.6,632.63,601.07,568.82,555.49,528.24,541.47,562.52,509.75,487.75,480.49,423.46,484.18,132.58,137.68,130.02,108.68,92.73,84.44,85.67,76.98,77.65,75.86,60.96,116.31,26.89,33.98,38.19,35.8,24.42,30.9
P/L Before Exceptional Items & Tax,3175.2,2520.0,-909.4,2801.7,1769.64,2998.49,187.86,3087.25,916.02,1418.17,-1585.49,-1065.42,-1679.79,128.45,-1440.42,-3179.27,-1159.05,-626.58,-1194.77,-2849.39,-1293.43,550.38,-1037.35,1505.31,616.8,190.89,-988.08,31.34,166.21,1071.6,764.54,1124.34,618.95,602.13,176.56,746.7,810.84,932.9,159.94,925.27,866.04,752.61
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,3175.2,2520.0,-909.4,2801.7,1769.64,2998.49,187.86,3087.25,916.02,1418.17,-1585.49,-1065.42,-1679.79,128.45,-1440.42,-3179.27,-1159.05,-626.58,-1194.77,-2849.39,-1293.43,550.38,-1037.35,1505.31,616.8,190.89,-988.08,31.34,166.21,1071.6,764.54,1124.34,618.95,602.13,176.56,746.7,810.84,932.9,159.94,925.27,866.04,752.61
Tax,101.8,78.0,79.4,75.0,-124.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-419.96,59.93,28.26,304.84,27.21,--,-335.95,3.55,48.56,309.57,212.98,313.19,178.65,114.88,36.71,154.92,231.53,275.62,47.25,284.83,297.3,221.04
P/L After Tax from Ordinary Activities,3073.4,2442.0,-988.8,2726.7,1893.89,2998.49,187.86,3087.25,916.02,1418.17,-1585.49,-1065.42,-1679.79,128.45,-1440.42,-3179.27,-1159.05,-626.58,-1194.77,-2849.39,-873.47,490.45,-1065.61,1200.47,589.59,190.89,-652.13,27.79,117.64,762.03,551.56,811.15,440.31,487.26,139.85,591.77,579.31,657.29,112.69,640.43,568.74,531.57
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,3073.4,2442.0,-988.8,2726.7,1893.89,2998.49,187.86,3087.25,916.02,1418.17,-1585.49,-1065.42,-1679.79,128.45,-1440.42,-3179.27,-1159.05,-626.58,-1194.77,-2849.39,-873.47,490.45,-1065.61,1200.47,589.59,190.89,-652.13,27.79,117.64,762.03,551.56,811.15,440.31,487.26,139.85,591.77,579.31,657.29,112.69,640.43,568.74,531.57
Equity Share Capital,386.4,386.4,386.3,386.0,385.98,385.95,385.79,385.55,385.55,385.48,385.44,385.26,385.26,385.19,385.15,384.91,384.91,384.86,384.8,384.8,384.8,384.8,384.66,384.66,384.41,384.41,384.41,384.41,384.41,384.31,384.07,361.6,361.47,361.47,361.47,361.2,360.36,360.36,343.72,343.72,30.7,30.7
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,391.85,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,79.54,63.21,-25.6,70.64,49.07,77.7,4.87,80.07,23.76,36.79,-41.14,-27.67,-43.61,3.33,-37.41,-82.6,-30.12,-16.28,-31.05,-74.05,-22.7,12.75,-27.7,31.22,15.34,4.97,-16.96,0.72,3.06,19.83,15.19,22.44,12.18,13.48,3.87,16.42,16.08,18.57,3.28,--,--,17.31
Diluted EPS,79.43,63.12,-25.57,70.51,49.0,77.59,4.86,79.94,23.73,36.74,-41.14,-27.67,-43.61,3.33,-37.41,-82.6,-30.12,-16.28,-31.05,-74.05,-22.7,12.74,-27.7,31.18,15.32,4.96,-16.96,0.72,3.05,19.8,15.15,22.39,12.17,13.39,3.84,16.27,15.93,18.43,3.27,--,--,15.47
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
