Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,58.69,72.65,90.85,70.39,58.76,58.12,70.32,59.68,64.62,63.5,83.26,62.33,72.95,73.92,70.13,43.52,72.48,62.14,61.54,22.92,42.54,42.28,51.28,46.03,36.19,37.01,43.07,39.24,43.8,39.23,41.69,37.88,38.18,32.77,21.81,15.08
"P/L Before Other Inc. , Int., Excpt. Items & Tax",51.31,13.19,74.15,37.29,55.27,49.89,78.54,67.47,96.77,65.19,83.49,57.55,57.51,56.03,83.67,30.69,66.01,83.28,72.69,7.71,41.93,37.37,48.69,40.31,27.49,28.42,27.19,21.13,22.98,20.95,28.6,16.79,15.64,22.34,22.36,13.91
Other Income,41.14,5.94,6.93,12.46,11.8,9.45,8.47,7.57,4.12,9.69,2.81,1.85,0.36,0.6,1.31,0.35,1.65,0.18,0.31,0.25,5.13,1.07,2.52,0.48,0.9,0.5,1.5,1.28,1.3,2.65,1.7,0.55,0.14,0.89,0.06,0.27
"P/L Before Int., Excpt. Items & Tax",92.45,19.13,81.08,49.75,67.07,59.34,87.01,75.04,100.89,74.88,86.3,59.4,57.87,56.63,84.98,31.04,67.66,83.46,73.0,7.96,47.06,38.44,51.21,40.79,28.39,28.92,28.69,22.41,24.28,23.6,30.3,17.34,15.78,23.23,22.42,14.18
Interest,15.15,14.97,11.67,11.24,9.71,12.42,9.08,10.27,10.76,9.2,8.98,7.29,9.54,8.28,5.42,6.91,6.0,7.49,6.86,5.56,7.52,8.3,9.51,9.78,7.75,6.33,4.99,5.23,4.22,2.48,3.44,3.05,2.9,3.91,4.82,3.38
P/L Before Exceptional Items & Tax,77.3,4.16,69.41,38.51,57.36,46.92,77.93,64.77,90.13,65.68,77.32,52.11,48.33,48.35,79.56,24.13,61.66,75.97,66.14,2.4,39.54,30.14,41.7,31.01,20.64,22.59,23.7,17.18,20.06,21.12,26.86,14.29,12.88,19.32,17.6,10.8
Exceptional Items,250.37,--,239.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,327.67,4.16,308.54,38.51,57.36,46.92,77.93,64.77,90.13,65.68,77.32,52.11,48.33,48.35,79.56,24.13,61.66,75.97,66.14,2.4,39.54,30.14,41.7,31.01,20.64,22.59,23.7,17.18,20.06,21.12,26.86,14.29,12.88,19.32,17.6,10.8
Tax,49.12,1.66,51.72,10.48,13.92,9.9,20.68,16.82,25.84,16.9,18.5,12.87,13.3,13.02,17.19,5.91,17.14,18.68,17.79,0.58,9.17,7.96,4.1,10.57,6.89,8.25,7.94,4.66,6.49,6.09,8.25,4.5,3.62,6.0,4.04,3.21
P/L After Tax from Ordinary Activities,278.55,2.5,256.82,28.03,43.44,37.02,57.25,47.95,64.29,48.78,58.82,39.24,35.03,35.33,62.37,18.22,44.52,57.29,48.35,1.82,30.37,22.18,37.6,20.44,13.75,14.34,15.76,12.52,13.57,15.03,18.61,9.79,9.26,13.32,13.56,7.59
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,278.55,2.5,256.82,28.03,43.44,37.02,57.25,47.95,64.29,48.78,58.82,39.24,35.03,35.33,62.37,18.22,44.52,57.29,48.35,1.82,30.37,22.18,37.6,20.44,13.75,14.34,15.76,12.52,13.57,15.03,18.61,9.79,9.25,13.32,13.56,7.59
Equity Share Capital,12.05,12.01,11.97,11.97,11.96,11.96,11.91,11.91,11.91,11.91,11.87,11.87,11.87,11.87,11.73,11.71,11.71,11.71,11.57,11.57,11.57,11.57,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,10.99,10.99,10.99,10.99,10.99
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,46.49,0.42,42.93,4.68,7.28,6.21,9.61,8.05,10.82,8.22,9.91,6.61,5.95,6.02,10.65,3.11,7.66,49.43,41.78,1.57,26.61,19.51,33.21,18.05,12.14,12.66,13.93,11.06,12.16,13.49,16.87,8.88,8.97,13.17,14.4,--
Diluted EPS,45.78,0.41,42.49,4.66,7.24,6.18,9.58,8.04,10.74,8.15,9.82,6.55,5.89,5.89,10.3,3.01,7.49,48.59,40.88,1.54,25.89,18.84,31.81,17.28,11.97,12.66,13.93,11.06,12.16,13.49,16.87,8.88,8.49,12.23,12.52,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
