Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Government/Other Grants,Other Assets,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2015-03-31,41.53,41.53,356.84,356.84,0.0,398.37,0.0,630.87,0.0,2.38,7.77,641.02,46.99,142.57,127.07,8.65,325.28,1364.67,680.69,91.25,68.18,840.12,80.32,0.0,295.45,22.19,1238.08,0.38,11.03,67.56,12.3,32.3,3.02,126.59,1364.67,171.22,3.46,4.96,1.73,0.0,2.14,0.0,80.7,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,46.69,46.69,807.37,807.37,0.0,854.06,0.0,574.09,10.55,1.86,5.95,592.45,0.0,194.17,178.34,15.06,387.57,1834.08,807.89,86.18,71.74,967.34,85.47,0.0,300.02,74.21,1427.04,221.22,18.52,81.78,18.61,54.63,12.28,407.04,1834.08,211.05,11.63,9.8,5.01,0.0,2.29,0.0,306.69,221.22,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,46.74,46.74,906.23,906.23,0.0,952.97,0.0,605.04,0.0,0.0,6.23,611.27,124.43,182.44,269.07,2.98,578.92,2143.16,979.47,441.53,105.22,1526.22,73.93,43.1,0.0,275.46,1918.71,0.96,16.92,88.2,17.7,25.27,75.4,224.45,2143.16,300.09,12.52,29.5,9.79,0.0,5.4,0.0,74.89,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,46.74,46.74,1009.43,1009.43,0.0,1056.17,0.0,561.56,0.0,0.0,9.4,570.96,98.75,234.89,328.11,2.61,664.36,2291.49,1121.7,441.69,101.69,1665.08,49.99,15.6,0.0,318.59,2049.26,1.06,18.54,136.5,22.51,1.02,62.6,242.23,2291.49,215.79,3.15,41.71,8.95,0.0,3.72,0.0,34.12,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,46.74,46.74,1162.87,1162.87,0.0,1209.61,0.0,867.98,25.23,213.55,12.73,1119.49,74.39,330.7,542.48,2.8,950.37,3279.47,1259.76,443.73,190.04,1893.53,694.27,0.0,204.69,179.13,2971.62,1.08,25.84,149.9,23.14,28.57,79.32,307.85,3279.47,286.1,0.33,32.93,15.53,0.0,2.88,0.0,687.15,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,51.35,51.35,1406.55,1406.55,5.32,1463.22,0.0,913.44,57.09,3635.97,12.57,4619.07,185.56,293.25,767.12,4.18,1250.11,7332.4,4559.12,1211.22,154.71,5925.05,61.09,201.97,266.82,183.33,6638.26,1.17,28.96,171.22,320.06,58.33,114.4,694.14,7332.4,361.82,1.08,44.46,17.75,0.0,4.91,0.0,0.5,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,60.76,60.76,1771.36,1771.36,8.3,1840.42,0.0,979.99,52.37,3451.25,17.09,4500.7,118.99,189.41,797.05,4.09,1109.54,7450.66,4175.04,1197.12,217.1,5589.26,62.29,395.67,281.32,160.11,6488.65,0.9,23.25,19.85,721.53,58.45,138.03,962.01,7450.66,274.75,0.28,5.72,9.3,0.0,0.19,0.0,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,61.0,61.0,1326.99,1326.99,0.0,1387.99,0.49,1033.14,12.11,3438.2,8.56,4492.01,470.5,291.26,652.67,2.61,1417.04,7297.53,4148.93,1183.51,64.42,5396.86,95.91,590.92,11.64,391.15,6486.48,0.47,31.42,63.0,566.67,3.43,146.06,811.05,7297.53,232.58,2.06,4.89,16.82,0.0,1.36,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,97.97,97.97,7252.4,7252.4,0.0,7350.37,0.74,1272.28,0.0,5770.0,26.02,7068.3,519.18,487.01,965.85,35.24,2007.28,16426.69,8275.68,5864.79,247.31,14387.78,148.4,471.6,11.04,696.84,15715.66,0.21,59.67,158.02,336.98,15.01,141.14,711.03,16426.69,542.64,2.05,58.25,41.17,4.65,0.38,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,98.1,98.1,7242.8,7242.8,0.0,7340.9,0.0,1047.4,0.0,6059.1,12.1,7118.6,669.8,638.2,973.3,45.6,2326.9,16786.4,8554.6,5858.0,246.4,14659.0,208.4,484.0,0.0,606.3,15957.7,16.1,64.2,207.7,353.3,24.2,163.2,828.7,16786.4,334.9,7.2,74.8,41.7,0.0,9.6,0.0,208.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
