Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19
Interest,190.31,192.63,175.56,156.77,145.87,130.21,117.01,106.77,92.88,79.55,71.16,60.7,53.81,55.24,56.41,53.18,54.47,54.4,56.67,54.62,50.9,51.1
P/L Before Exceptional Items & Tax,137.9,129.82,120.36,113.52,110.75,102.74,96.44,90.03,84.01,75.75,69.17,66.3,63.21,59.15,56.31,47.63,42.51,21.2,17.57,52.76,16.42,40.61
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,137.9,129.82,120.36,113.52,110.75,102.74,96.44,90.03,84.01,75.75,69.17,66.3,63.21,59.15,56.31,47.63,42.51,21.2,17.57,52.76,16.42,40.61
Tax,33.2,32.43,28.13,25.75,27.28,23.92,22.13,20.91,19.98,17.0,14.9,15.05,3.02,13.21,11.44,12.52,11.23,5.29,3.24,14.15,3.95,10.55
P/L After Tax from Ordinary Activities,104.69,97.38,92.23,87.77,83.47,78.82,74.31,69.12,64.03,58.74,54.27,51.25,60.19,45.94,44.87,35.11,31.29,15.91,14.33,38.61,12.47,30.06
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,104.69,97.38,92.23,87.77,83.47,78.82,74.31,69.12,64.03,58.74,54.27,51.25,60.19,45.94,44.87,35.11,31.29,15.91,14.33,38.61,12.47,30.06
Equity Share Capital,18.01,17.94,17.83,17.78,17.7,17.67,17.63,17.62,17.6,17.57,17.55,17.54,17.53,17.52,17.51,17.5,17.48,15.66,15.66,17.48,15.66,15.66
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,11.65,10.9,10.36,9.9,9.43,8.93,8.43,7.85,7.28,6.69,6.19,5.85,6.87,5.25,5.13,4.01,3.65,2.03,1.83,4.42,1.59,3.84
Diluted EPS,11.45,10.65,10.07,9.65,9.16,8.65,8.17,7.61,7.06,6.53,6.03,5.7,6.73,5.14,5.03,3.94,3.65,1.92,1.78,--,1.56,3.76
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
