Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,324.95,296.27,293.24,286.35,289.03,292.47,271.06,252.35,252.4,268.39,273.52,288.34,202.34,184.09,185.65,196.06,193.88,176.78,154.78,156.4,138.33,130.2,123.96,111.6,104.86,88.97,122.77,89.43,84.47,82.32,80.53,74.01,70.75,72.24,79.49,63.1,31.7,67.57
"P/L Before Other Inc. , Int., Excpt. Items & Tax",306.65,117.62,90.89,70.39,182.21,83.54,95.11,44.01,171.89,306.62,350.49,352.18,311.97,155.7,274.48,307.57,411.72,365.31,319.28,216.92,147.61,104.34,92.1,38.79,69.79,43.89,36.26,40.99,80.89,56.7,85.18,69.25,92.05,72.9,85.01,63.84,106.0,76.57
Other Income,72.16,7.12,11.89,9.3,24.09,10.72,5.9,6.71,5.94,2.98,4.1,2.93,2.29,7.19,4.5,7.57,5.72,8.54,6.58,6.48,1.63,1.97,1.28,4.48,1.62,1.41,10.51,2.58,5.01,9.8,6.59,7.44,8.93,12.3,7.61,1.95,-6.73,1.72
"P/L Before Int., Excpt. Items & Tax",378.81,124.74,102.78,79.69,206.3,94.26,101.01,50.72,177.83,309.6,354.59,355.11,314.26,162.89,278.98,315.14,417.44,373.85,325.86,223.4,149.24,106.31,93.38,43.27,71.41,45.31,46.77,43.57,85.9,66.5,91.77,76.69,100.98,85.2,92.62,65.8,99.27,78.29
Interest,48.61,48.02,44.69,40.89,41.99,37.56,37.8,33.47,41.03,39.26,37.91,27.5,29.29,20.94,20.59,25.04,21.06,16.93,13.37,14.56,20.29,20.38,25.04,22.01,16.96,23.1,24.02,21.75,22.7,16.73,18.28,17.75,14.84,29.65,24.65,27.84,32.66,29.43
P/L Before Exceptional Items & Tax,330.2,76.72,58.09,38.8,164.31,56.7,63.21,17.25,136.8,270.34,316.68,327.61,284.97,141.95,258.39,290.1,396.38,356.92,312.49,208.84,128.95,85.93,68.35,21.26,54.45,22.21,22.74,21.82,63.2,49.78,73.49,58.95,86.14,55.55,67.97,37.96,66.61,48.86
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,330.2,76.72,58.09,38.8,164.31,56.7,63.21,17.25,136.8,270.34,316.68,327.61,284.97,141.95,258.39,290.1,396.38,356.92,312.49,208.84,128.95,85.93,68.35,21.26,54.45,22.21,22.74,21.82,63.2,49.78,73.49,58.95,86.14,55.55,67.97,37.96,66.61,48.86
Tax,78.3,19.45,15.65,10.02,42.99,14.06,16.54,4.18,34.52,71.29,89.24,96.0,63.75,32.79,60.76,68.02,103.6,89.96,74.9,50.06,16.42,7.97,8.81,4.23,10.5,4.72,5.11,5.89,16.85,13.88,20.73,16.3,11.83,8.13,17.14,7.96,14.28,8.63
P/L After Tax from Ordinary Activities,251.9,57.27,42.44,28.78,121.32,42.64,46.67,13.07,102.28,199.05,227.44,231.61,221.22,109.16,197.63,222.08,292.78,266.96,237.59,158.78,112.53,77.95,59.54,17.03,43.95,17.48,17.63,15.93,46.35,35.89,52.76,42.64,74.31,47.42,50.83,30.0,52.33,40.23
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,251.9,57.27,42.44,28.78,121.32,42.64,46.67,13.07,102.28,199.05,227.44,231.61,221.22,109.16,197.63,222.08,292.78,266.96,237.59,158.78,112.53,77.95,59.54,17.03,43.95,17.48,17.63,15.93,46.35,35.89,52.76,42.64,74.31,47.42,50.83,30.0,52.33,40.23
Equity Share Capital,107.85,107.85,107.83,107.83,107.79,107.79,107.73,107.73,107.73,107.73,107.47,107.47,107.47,107.47,107.32,107.32,107.32,107.32,107.2,106.91,106.91,106.91,106.91,106.44,106.44,106.44,106.44,106.03,106.03,106.03,106.03,105.76,105.76,105.76,98.75,98.75,15.77,15.77
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,785.02,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.68,1.06,0.79,0.53,2.25,0.79,0.87,0.24,1.89,3.71,4.23,4.31,4.11,2.04,3.68,4.14,5.46,4.98,4.44,14.85,10.54,7.3,5.59,1.6,4.13,1.65,1.66,1.5,4.37,3.38,4.99,4.03,7.03,4.74,5.45,--,--,6.38
Diluted EPS,4.67,1.06,0.79,0.53,2.25,0.79,0.87,0.24,1.88,3.7,4.21,4.3,4.1,2.02,3.67,4.12,5.43,4.96,4.41,14.85,10.54,7.3,5.59,1.6,4.12,1.64,1.66,1.5,4.35,3.37,4.96,4.01,6.99,4.72,5.13,--,--,4.07
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
